,word,date,neg,pos,log_odds_ratio
1,해가,2021-07-01,286,0,-7.03697423548287
2,해,2021-07-01,245,0,-6.88282355565561
3,못하고,2021-07-01,143,0,-6.34730531929925
4,힘든,2021-07-01,96,0,-5.95220299822663
5,좋은,2021-07-01,0,1347,5.828885271749
6,비싼,2021-07-01,84,0,-5.82014327621357
7,분에,2021-07-01,82,0,-5.79633262751985
8,흐린,2021-07-01,68,0,-5.61159852432051
9,걱정,2021-07-01,67,0,-5.59699972489936
10,아니다,2021-07-01,57,0,-5.43793503026967
11,힘들게,2021-07-01,57,0,-5.43793503026967
12,예쁜,2021-07-01,0,817,5.3293703168795
13,무서워서,2021-07-01,49,0,-5.2895150251514
14,미친,2021-07-01,47,0,-5.24869303063114
15,잘못,2021-07-01,43,0,-5.16168165364151
16,무서운,2021-07-01,41,0,-5.11516163800662
17,화,2021-07-01,39,0,-5.06637147383719
18,맛집,2021-07-01,0,617,5.04899643773444
19,어려운,2021-07-01,37,0,-5.01507817944964
20,힘들,2021-07-01,37,0,-5.01507817944964
21,힘들다,2021-07-01,37,0,-5.01507817944964
22,싫어서,2021-07-01,34,0,-4.93284008121266
23,심하게,2021-07-01,34,0,-4.93284008121266
24,좋아하는,2021-07-01,0,527,4.89160426398301
25,불편한,2021-07-01,32,0,-4.87399958118973
26,후회,2021-07-01,31,0,-4.84322792252298
27,맛있게,2021-07-01,0,499,4.83711607869894
28,싫어하는,2021-07-01,29,0,-4.77868940138541
29,병,2021-07-01,28,0,-4.74478784970972
30,스트레스,2021-07-01,28,0,-4.74478784970972
31,아파서,2021-07-01,27,0,-4.70969652989845
32,좋고,2021-07-01,0,431,4.69093356852086
33,귀여운,2021-07-01,0,403,4.6239228582379
34,맛있는,2021-07-01,0,398,4.61146939716661
35,좋을,2021-07-01,0,396,4.60644426096394
36,부족한,2021-07-01,23,0,-4.5555458500712
37,비싸다,2021-07-01,22,0,-4.5129862356524
38,장애인,2021-07-01,22,0,-4.5129862356524
39,좋다,2021-07-01,0,348,4.47757990247918
40,좋아서,2021-07-01,0,345,4.46894675533447
41,살기,2021-07-01,20,0,-4.42201445744667
42,싫다,2021-07-01,20,0,-4.42201445744667
43,아픈,2021-07-01,20,0,-4.42201445744667
44,슬픈,2021-07-01,19,0,-4.37322429327724
45,아름다운,2021-07-01,0,310,4.36230089245598
46,무서워,2021-07-01,18,0,-4.32193099888969
47,심한,2021-07-01,18,0,-4.32193099888969
48,어렵고,2021-07-01,18,0,-4.32193099888969
49,어렵다,2021-07-01,18,0,-4.32193099888969
50,예쁘게,2021-07-01,0,288,4.28893466838918
51,어렵게,2021-07-01,17,0,-4.26786377761942
52,편하게,2021-07-01,0,277,4.25012909396739
53,부담,2021-07-01,16,0,-4.21070536377947
54,어려워,2021-07-01,16,0,-4.21070536377947
55,어려울,2021-07-01,15,0,-4.15008074196303
56,화가,2021-07-01,15,0,-4.15008074196303
57,병을,2021-07-01,14,0,-4.08554222082546
58,실망,2021-07-01,14,0,-4.08554222082546
59,싫은,2021-07-01,14,0,-4.08554222082546
60,거친,2021-07-01,13,0,-4.01654934933851
61,싫다고,2021-07-01,13,0,-4.01654934933851
62,짜증,2021-07-01,13,0,-4.01654934933851
63,최고,2021-07-01,0,217,4.00700304306584
64,맛있다,2021-07-01,0,205,3.95038414906633
65,못하게,2021-07-01,12,0,-3.94244137718479
66,무섭고,2021-07-01,12,0,-3.94244137718479
67,위험한,2021-07-01,12,0,-3.94244137718479
68,거짓말,2021-07-01,11,0,-3.86239866951125
69,무섭다,2021-07-01,11,0,-3.86239866951125
70,분이나,2021-07-01,11,0,-3.86239866951125
71,불편함,2021-07-01,11,0,-3.86239866951125
72,울고,2021-07-01,11,0,-3.86239866951125
73,짜증이,2021-07-01,11,0,-3.86239866951125
74,좋아,2021-07-01,0,185,3.84825465398995
75,즐거운,2021-07-01,0,179,3.81546483116696
76,예쁘고,2021-07-01,0,174,3.78729395420026
77,불편,2021-07-01,10,0,-3.77538729252162
78,시끄럽고,2021-07-01,10,0,-3.77538729252162
79,아프고,2021-07-01,10,0,-3.77538729252162
80,환상,2021-07-01,10,0,-3.77538729252162
81,바보,2021-07-01,9,0,-3.6800771127173
82,비만,2021-07-01,9,0,-3.6800771127173
83,사악한,2021-07-01,9,0,-3.6800771127173
84,상처,2021-07-01,9,0,-3.6800771127173
85,싫고,2021-07-01,9,0,-3.6800771127173
86,이쁜,2021-07-01,0,154,3.665933097196
87,벌,2021-07-01,8,0,-3.57471659705947
88,병이,2021-07-01,8,0,-3.57471659705947
89,불편하고,2021-07-01,8,0,-3.57471659705947
90,쓸데없는,2021-07-01,8,0,-3.57471659705947
91,죄송합니다,2021-07-01,8,0,-3.57471659705947
92,행복한,2021-07-01,0,138,3.55698191340744
93,맑은,2021-07-01,0,136,3.54248890610487
94,많다,2021-07-01,0,135,3.5351628660128
95,격하게,2021-07-01,7,0,-3.45693356140309
96,무서워하는,2021-07-01,7,0,-3.45693356140309
97,불편하다,2021-07-01,7,0,-3.45693356140309
98,아파,2021-07-01,7,0,-3.45693356140309
99,잘못된,2021-07-01,7,0,-3.45693356140309
100,짜증을,2021-07-01,7,0,-3.45693356140309
