,word,date,neg,pos,log_odds_ratio
1,해가,2020-06-01,246,0,-6.855591488325
2,해,2020-06-01,162,0,-6.43995335250379
3,못하고,2020-06-01,111,0,-6.06470202299212
4,힘든,2020-06-01,80,0,-5.74065230636947
5,좋은,2020-06-01,0,1070,5.63014491875072
6,비싼,2020-06-01,68,0,-5.58030965629429
7,흐린,2020-06-01,62,0,-5.48933787808856
8,걱정,2020-06-01,50,0,-5.27802878442135
9,분에,2020-06-01,50,0,-5.27802878442135
10,아니다,2020-06-01,47,0,-5.21740416260492
11,무서워서,2020-06-01,45,0,-5.17484454818612
12,예쁜,2020-06-01,0,659,5.14603668332344
13,힘들게,2020-06-01,42,0,-5.10740326739059
14,힘들,2020-06-01,38,0,-5.00976479782667
15,잘못,2020-06-01,35,0,-4.92972209015314
16,어려운,2020-06-01,34,0,-4.90155121318644
17,화,2020-06-01,34,0,-4.90155121318644
18,싫어하는,2020-06-01,31,0,-4.81193905449675
19,싫어서,2020-06-01,30,0,-4.78019035618217
20,후회,2020-06-01,29,0,-4.74740053335918
21,맛집,2020-06-01,0,428,4.71525376723099
22,힘들다,2020-06-01,28,0,-4.7134989816835
23,좋아하는,2020-06-01,0,421,4.69880216233898
24,병,2020-06-01,27,0,-4.67840766187223
25,맛있게,2020-06-01,0,395,4.63521105955745
26,무서워,2020-06-01,25,0,-4.60429968971851
27,심하게,2020-06-01,25,0,-4.60429968971851
28,스트레스,2020-06-01,24,0,-4.56507897656523
29,슬픈,2020-06-01,24,0,-4.56507897656523
30,부족한,2020-06-01,23,0,-4.52425698204497
31,맛있는,2020-06-01,0,343,4.49443850567637
32,좋고,2020-06-01,0,340,4.48567932558649
33,비싸다,2020-06-01,21,0,-4.43724560505534
34,아름다운,2020-06-01,0,321,4.42834839384738
35,불편한,2020-06-01,20,0,-4.39072558942045
36,좋다,2020-06-01,0,308,4.38713812520072
37,귀여운,2020-06-01,0,297,4.35089033480838
38,어렵게,2020-06-01,19,0,-4.34193542525102
39,좋을,2020-06-01,0,283,4.30277108646418
40,무서운,2020-06-01,18,0,-4.29064213086347
41,미친,2020-06-01,17,0,-4.23657490959319
42,어려울,2020-06-01,17,0,-4.23657490959319
43,좋아서,2020-06-01,0,251,4.1832259358144
44,부담,2020-06-01,16,0,-4.17941649575324
45,아파서,2020-06-01,16,0,-4.17941649575324
46,심한,2020-06-01,15,0,-4.11879187393681
47,불안한,2020-06-01,14,0,-4.05425335279924
48,아픈,2020-06-01,14,0,-4.05425335279924
49,화가,2020-06-01,14,0,-4.05425335279924
50,예쁘게,2020-06-01,0,211,4.01038312297498
51,싫다고,2020-06-01,13,0,-3.98526048131229
52,못하게,2020-06-01,12,0,-3.91115250915856
53,불편함,2020-06-01,12,0,-3.91115250915856
54,비만,2020-06-01,12,0,-3.91115250915856
55,죄송합니다,2020-06-01,12,0,-3.91115250915856
56,편하게,2020-06-01,0,181,3.85780353537977
57,이쁜,2020-06-01,0,179,3.84675369919318
58,무섭고,2020-06-01,11,0,-3.83110980148503
59,싫고,2020-06-01,11,0,-3.83110980148503
60,병을,2020-06-01,10,0,-3.7440984244954
61,병이,2020-06-01,10,0,-3.7440984244954
62,살기,2020-06-01,10,0,-3.7440984244954
63,아프고,2020-06-01,10,0,-3.7440984244954
64,어렵다,2020-06-01,10,0,-3.7440984244954
65,좋아,2020-06-01,0,161,3.74139318353536
66,맛있다,2020-06-01,0,148,3.65774315424843
67,망할,2020-06-01,9,0,-3.64878824469107
68,어려움,2020-06-01,9,0,-3.64878824469107
69,어렵고,2020-06-01,9,0,-3.64878824469107
70,울고,2020-06-01,9,0,-3.64878824469107
71,잘못된,2020-06-01,9,0,-3.64878824469107
72,환상,2020-06-01,9,0,-3.64878824469107
73,예쁘고,2020-06-01,0,145,3.63740347001131
74,많다,2020-06-01,0,138,3.58827078143366
75,즐거운,2020-06-01,0,137,3.58105053346018
76,맑은,2020-06-01,0,136,3.5737777741311
77,최고,2020-06-01,0,132,3.54414597652473
78,거짓말,2020-06-01,8,0,-3.54342772903325
79,거친,2020-06-01,8,0,-3.54342772903325
80,귀찮은,2020-06-01,8,0,-3.54342772903325
81,위험한,2020-06-01,8,0,-3.54342772903325
82,따뜻한,2020-06-01,0,130,3.52899417150412
83,격하게,2020-06-01,7,0,-3.42564469337686
84,막히는,2020-06-01,7,0,-3.42564469337686
85,무섭다,2020-06-01,7,0,-3.42564469337686
86,벌,2020-06-01,7,0,-3.42564469337686
87,분이나,2020-06-01,7,0,-3.42564469337686
88,불쌍한,2020-06-01,7,0,-3.42564469337686
89,불편하고,2020-06-01,7,0,-3.42564469337686
90,소름,2020-06-01,7,0,-3.42564469337686
91,속상,2020-06-01,7,0,-3.42564469337686
92,시끄럽게,2020-06-01,7,0,-3.42564469337686
93,실망,2020-06-01,7,0,-3.42564469337686
94,우울한,2020-06-01,7,0,-3.42564469337686
95,짜증,2020-06-01,7,0,-3.42564469337686
96,행복한,2020-06-01,0,116,3.41597078310073
97,만족,2020-06-01,0,108,3.34514473053212
98,시원하게,2020-06-01,0,104,3.3077571984605
99,가짜,2020-06-01,6,0,-3.29211330075234
100,무서워하는,2020-06-01,6,0,-3.29211330075234
