,word,date,neg,pos,log_odds_ratio
1,해가,2021-06-01,371,0,-7.33249047695695
2,해,2021-06-01,314,0,-7.16616926150944
3,못하고,2021-06-01,187,0,-6.65003858551375
4,분에,2021-06-01,126,0,-6.25778370914239
5,비싼,2021-06-01,123,0,-6.23387818828884
6,힘든,2021-06-01,115,0,-6.16718681379017
7,좋은,2021-06-01,0,1664,6.00398377973074
8,아니다,2021-06-01,87,0,-5.89093343716201
9,걱정,2021-06-01,82,0,-5.8324372304804
10,흐린,2021-06-01,79,0,-5.79562325735769
11,무서워서,2021-06-01,71,0,-5.69026274169986
12,힘들,2021-06-01,57,0,-5.47403963323022
13,예쁜,2021-06-01,0,942,5.43546965994965
14,병,2021-06-01,54,0,-5.42092980791627
15,싫어서,2021-06-01,54,0,-5.42092980791627
16,잘못,2021-06-01,51,0,-5.36484034126523
17,미친,2021-06-01,47,0,-5.28479763359169
18,화,2021-06-01,47,0,-5.28479763359169
19,힘들게,2021-06-01,45,0,-5.2422380191729
20,맛집,2021-06-01,0,764,5.22627921114273
21,스트레스,2021-06-01,44,0,-5.22025911245412
22,부족한,2021-06-01,43,0,-5.19778625660206
23,싫어하는,2021-06-01,43,0,-5.19778625660206
24,맛있게,2021-06-01,0,722,5.16981259947496
25,좋아하는,2021-06-01,0,722,5.16981259947496
26,비싸다,2021-06-01,38,0,-5.07715826881345
27,어려운,2021-06-01,38,0,-5.07715826881345
28,힘들다,2021-06-01,36,0,-5.02451453532803
29,심하게,2021-06-01,35,0,-4.99711556113991
30,불편한,2021-06-01,34,0,-4.96894468417322
31,좋다,2021-06-01,0,574,4.94077341811355
32,맛있는,2021-06-01,0,560,4.91612428283889
33,후회,2021-06-01,32,0,-4.91010418415028
34,좋을,2021-06-01,0,544,4.88718917197944
35,무서운,2021-06-01,31,0,-4.87933252548353
36,슬픈,2021-06-01,31,0,-4.87933252548353
37,울고,2021-06-01,31,0,-4.87933252548353
38,좋고,2021-06-01,0,529,4.85928038386236
39,무섭다,2021-06-01,30,0,-4.84758382716895
40,화가,2021-06-01,30,0,-4.84758382716895
41,귀여운,2021-06-01,0,501,4.80500349700793
42,무서워,2021-06-01,28,0,-4.78089245267028
43,아파서,2021-06-01,28,0,-4.78089245267028
44,부담,2021-06-01,26,0,-4.70943348868813
45,살기,2021-06-01,26,0,-4.70943348868813
46,심한,2021-06-01,26,0,-4.70943348868813
47,좋아서,2021-06-01,0,454,4.70670079626715
48,아름다운,2021-06-01,0,409,4.60256053701455
49,아픈,2021-06-01,23,0,-4.59165045303175
50,어려울,2021-06-01,23,0,-4.59165045303175
51,장애인,2021-06-01,23,0,-4.59165045303175
52,편하게,2021-06-01,0,402,4.58533993926288
53,못하게,2021-06-01,22,0,-4.54909083861295
54,아프고,2021-06-01,22,0,-4.54909083861295
55,어렵게,2021-06-01,22,0,-4.54909083861295
56,예쁘게,2021-06-01,0,371,4.50529723158934
57,비만,2021-06-01,21,0,-4.50463907604212
58,짜증이,2021-06-01,21,0,-4.50463907604212
59,어려워,2021-06-01,20,0,-4.45811906040723
60,벌,2021-06-01,19,0,-4.40932889623779
61,어렵고,2021-06-01,19,0,-4.40932889623779
62,무섭고,2021-06-01,17,0,-4.30396838057997
63,이쁜,2021-06-01,0,291,4.26315717958448
64,싫은,2021-06-01,16,0,-4.24680996674002
65,좋아,2021-06-01,0,275,4.20680424303335
66,거짓말,2021-06-01,15,0,-4.18618534492358
67,분이나,2021-06-01,15,0,-4.18618534492358
68,어렵다,2021-06-01,15,0,-4.18618534492358
69,환상,2021-06-01,15,0,-4.18618534492358
70,맛있다,2021-06-01,0,269,4.18482533631457
71,불편함,2021-06-01,14,0,-4.12164682378601
72,실망,2021-06-01,14,0,-4.12164682378601
73,최악의,2021-06-01,14,0,-4.12164682378601
74,예쁘고,2021-06-01,0,249,4.10786429517844
75,거친,2021-06-01,13,0,-4.05265395229906
76,병이,2021-06-01,13,0,-4.05265395229906
77,불편,2021-06-01,13,0,-4.05265395229906
78,불편할,2021-06-01,13,0,-4.05265395229906
79,쓸데없는,2021-06-01,13,0,-4.05265395229906
80,아프다,2021-06-01,13,0,-4.05265395229906
81,싫다고,2021-06-01,12,0,-3.97854598014534
82,죄송합니다,2021-06-01,12,0,-3.97854598014534
83,짜증을,2021-06-01,12,0,-3.97854598014534
84,많다,2021-06-01,0,218,3.9754751071327
85,즐거운,2021-06-01,0,214,3.95704140544386
86,최고,2021-06-01,0,211,3.94298965198821
87,사악한,2021-06-01,11,0,-3.8985032724718
88,시끄럽게,2021-06-01,11,0,-3.8985032724718
89,싫다,2021-06-01,11,0,-3.8985032724718
90,행복한,2021-06-01,0,189,3.83342744947668
91,귀찮은,2021-06-01,10,0,-3.81149189548217
92,나쁜,2021-06-01,10,0,-3.81149189548217
93,심각하게,2021-06-01,10,0,-3.81149189548217
94,어려워서,2021-06-01,10,0,-3.81149189548217
95,맑은,2021-06-01,0,179,3.77936022820641
96,예쁘다,2021-06-01,0,174,3.75118935123971
97,좋게,2021-06-01,0,174,3.75118935123971
98,따뜻한,2021-06-01,0,169,3.72220181436646
99,거부감,2021-06-01,9,0,-3.71618171567785
100,격하게,2021-06-01,9,0,-3.71618171567785
