,word,date,neg,pos,log_odds_ratio
1,해가,2021-08-01,248,0,-6.94853772409056
2,해,2021-08-01,232,0,-6.88212328119155
3,못하고,2021-08-01,152,0,-6.46152274901828
4,분에,2021-08-01,99,0,-6.03625501361394
5,비싼,2021-08-01,96,0,-6.00579580612923
6,좋은,2021-08-01,0,1430,5.8350439519306
7,힘든,2021-08-01,80,0,-5.82553398229829
8,걱정,2021-08-01,78,0,-5.80053268009287
9,아니다,2021-08-01,78,0,-5.80053268009287
10,흐린,2021-08-01,60,0,-5.54195869179916
11,무서워서,2021-08-01,56,0,-5.4741360954604
12,어려운,2021-08-01,51,0,-5.38232854620728
13,힘들,2021-08-01,50,0,-5.36291046035017
14,잘못,2021-08-01,48,0,-5.32290512573647
15,병,2021-08-01,44,0,-5.23774731739617
16,예쁜,2021-08-01,0,778,5.2269262182449
17,싫어하는,2021-08-01,39,0,-5.11996428173978
18,힘들다,2021-08-01,37,0,-5.06867098735223
19,힘들게,2021-08-01,36,0,-5.04200274027007
20,미친,2021-08-01,34,0,-4.98643288911526
21,싫어서,2021-08-01,34,0,-4.98643288911526
22,좋아하는,2021-08-01,0,599,4.9658448275903
23,맛집,2021-08-01,0,593,4.9557944917368
24,부족한,2021-08-01,31,0,-4.89682073042557
25,후회,2021-08-01,31,0,-4.89682073042557
26,불편한,2021-08-01,29,0,-4.832282209288
27,맛있게,2021-08-01,0,514,4.81308207303789
28,맛있는,2021-08-01,0,476,4.73643166326249
29,무서워,2021-08-01,26,0,-4.72692169363018
30,비싸다,2021-08-01,26,0,-4.72692169363018
31,좋을,2021-08-01,0,448,4.67593806011641
32,싫다고,2021-08-01,24,0,-4.64996065249405
33,화,2021-08-01,24,0,-4.64996065249405
34,좋고,2021-08-01,0,414,4.59719369260485
35,심하게,2021-08-01,22,0,-4.566579043555
36,짜증,2021-08-01,21,0,-4.52212728098416
37,귀여운,2021-08-01,0,375,4.49850431576405
38,좋다,2021-08-01,0,374,4.49584119834456
39,스트레스,2021-08-01,20,0,-4.47560726534927
40,슬픈,2021-08-01,20,0,-4.47560726534927
41,무서운,2021-08-01,19,0,-4.42681710117984
42,비만,2021-08-01,19,0,-4.42681710117984
43,좋아서,2021-08-01,0,334,4.38304570419922
44,불편함,2021-08-01,18,0,-4.37552380679229
45,아파서,2021-08-01,18,0,-4.37552380679229
46,어려울,2021-08-01,18,0,-4.37552380679229
47,화가,2021-08-01,18,0,-4.37552380679229
48,살기,2021-08-01,17,0,-4.32145658552201
49,아프고,2021-08-01,17,0,-4.32145658552201
50,예쁘게,2021-08-01,0,313,4.3183081582824
51,아름다운,2021-08-01,0,307,4.29901495534773
52,편하게,2021-08-01,0,304,4.28922694898156
53,부담,2021-08-01,16,0,-4.26429817168206
54,속상,2021-08-01,16,0,-4.26429817168206
55,싫다,2021-08-01,16,0,-4.26429817168206
56,심한,2021-08-01,16,0,-4.26429817168206
57,거친,2021-08-01,15,0,-4.20367354986563
58,어렵다,2021-08-01,15,0,-4.20367354986563
59,짜증이,2021-08-01,15,0,-4.20367354986563
60,병이,2021-08-01,14,0,-4.13913502872806
61,싫고,2021-08-01,14,0,-4.13913502872806
62,불편할,2021-08-01,13,0,-4.07014215724111
63,아픈,2021-08-01,13,0,-4.07014215724111
64,거짓말,2021-08-01,12,0,-3.99603418508738
65,병을,2021-08-01,12,0,-3.99603418508738
66,어려움,2021-08-01,12,0,-3.99603418508738
67,맛있다,2021-08-01,0,211,3.92550144704616
68,막혀,2021-08-01,11,0,-3.91599147741385
69,무섭고,2021-08-01,11,0,-3.91599147741385
70,환상,2021-08-01,11,0,-3.91599147741385
71,좋아,2021-08-01,0,201,3.87718286977536
72,최고,2021-08-01,0,198,3.86221999709864
73,예쁘고,2021-08-01,0,194,3.8419147309379
74,무서워하는,2021-08-01,10,0,-3.82898010042422
75,바보,2021-08-01,10,0,-3.82898010042422
76,벌,2021-08-01,10,0,-3.82898010042422
77,분이나,2021-08-01,10,0,-3.82898010042422
78,불안한,2021-08-01,10,0,-3.82898010042422
79,사악한,2021-08-01,10,0,-3.82898010042422
80,실망,2021-08-01,10,0,-3.82898010042422
81,싫은,2021-08-01,10,0,-3.82898010042422
82,심각한,2021-08-01,10,0,-3.82898010042422
83,어렵게,2021-08-01,10,0,-3.82898010042422
84,장애인,2021-08-01,10,0,-3.82898010042422
85,힘겹게,2021-08-01,10,0,-3.82898010042422
86,이쁜,2021-08-01,0,189,3.81593924453464
87,맑은,2021-08-01,0,176,3.74506490494798
88,망할,2021-08-01,9,0,-3.73366992061989
89,부담스러운,2021-08-01,9,0,-3.73366992061989
90,불편,2021-08-01,9,0,-3.73366992061989
91,불편하게,2021-08-01,9,0,-3.73366992061989
92,어렵고,2021-08-01,9,0,-3.73366992061989
93,즐거운,2021-08-01,0,170,3.71057872887681
94,따뜻한,2021-08-01,0,162,3.66266537318091
95,거칠게,2021-08-01,8,0,-3.62830940496207
96,나쁜,2021-08-01,8,0,-3.62830940496207
97,멘붕,2021-08-01,8,0,-3.62830940496207
98,못하게,2021-08-01,8,0,-3.62830940496207
99,불편하고,2021-08-01,8,0,-3.62830940496207
100,성난,2021-08-01,8,0,-3.62830940496207
