,word,date,neg,pos,log_odds_ratio
1,해,2021-05-01,279,0,-7.09592290633952
2,해가,2021-05-01,247,0,-6.97456204933525
3,못하고,2021-05-01,169,0,-6.59693174022053
4,힘든,2021-05-01,122,0,-6.27331765854268
5,분에,2021-05-01,110,0,-6.1706635044826
6,비싼,2021-05-01,97,0,-6.04610078184084
7,좋은,2021-05-01,0,1729,5.99474338432156
8,아니다,2021-05-01,87,0,-5.93847011764847
9,걱정,2021-05-01,80,0,-5.8555824578427
10,병,2021-05-01,65,0,-5.65078804519669
11,흐린,2021-05-01,62,0,-5.6042680295618
12,어려운,2021-05-01,60,0,-5.57200716734358
13,무서워서,2021-05-01,55,0,-5.48648499390542
14,미친,2021-05-01,53,0,-5.45011734973454
15,화,2021-05-01,50,0,-5.39295893589459
16,힘들,2021-05-01,50,0,-5.39295893589459
17,예쁜,2021-05-01,0,901,5.34348121689236
18,잘못,2021-05-01,47,0,-5.33233431407816
19,싫어하는,2021-05-01,45,0,-5.28977469965936
20,후회,2021-05-01,43,0,-5.24532293708853
21,힘들게,2021-05-01,42,0,-5.22233341886383
22,맛집,2021-05-01,0,670,5.04763583380142
23,싫어서,2021-05-01,35,0,-5.04465224162638
24,심하게,2021-05-01,35,0,-5.04465224162638
25,맛있게,2021-05-01,0,664,5.03865373748559
26,좋아하는,2021-05-01,0,649,5.01583905971942
27,슬픈,2021-05-01,31,0,-4.92686920596999
28,힘들다,2021-05-01,30,0,-4.89512050765541
29,좋고,2021-05-01,0,555,4.85963499108032
30,무서운,2021-05-01,28,0,-4.82842913315674
31,아파서,2021-05-01,28,0,-4.82842913315674
32,맛있는,2021-05-01,0,523,4.80035838115078
33,무서워,2021-05-01,27,0,-4.79333781334547
34,스트레스,2021-05-01,27,0,-4.79333781334547
35,좋아서,2021-05-01,0,491,4.73734541332204
36,좋을,2021-05-01,0,491,4.73734541332204
37,좋다,2021-05-01,0,490,4.73531082462425
38,비싸다,2021-05-01,25,0,-4.71922984119175
39,불편한,2021-05-01,23,0,-4.63918713351821
40,화가,2021-05-01,22,0,-4.59662751909942
41,아름다운,2021-05-01,0,419,4.57912140810715
42,귀여운,2021-05-01,0,416,4.57195291862854
43,무섭다,2021-05-01,21,0,-4.55217575652858
44,아픈,2021-05-01,21,0,-4.55217575652858
45,부족한,2021-05-01,20,0,-4.50565574089369
46,실망,2021-05-01,20,0,-4.50565574089369
47,어렵다,2021-05-01,19,0,-4.45686557672426
48,무섭고,2021-05-01,18,0,-4.40557228233671
49,병을,2021-05-01,18,0,-4.40557228233671
50,예쁘게,2021-05-01,0,335,4.35597785679294
51,벌,2021-05-01,17,0,-4.35150506106643
52,속상,2021-05-01,17,0,-4.35150506106643
53,심각하게,2021-05-01,17,0,-4.35150506106643
54,어려워서,2021-05-01,17,0,-4.35150506106643
55,최악의,2021-05-01,17,0,-4.35150506106643
56,편하게,2021-05-01,0,324,4.32269187915947
57,살기,2021-05-01,16,0,-4.29434664722648
58,죄송합니다,2021-05-01,16,0,-4.29434664722648
59,거짓말,2021-05-01,15,0,-4.23372202541005
60,병이,2021-05-01,15,0,-4.23372202541005
61,심한,2021-05-01,15,0,-4.23372202541005
62,어렵게,2021-05-01,15,0,-4.23372202541005
63,부담,2021-05-01,14,0,-4.16918350427248
64,분이나,2021-05-01,14,0,-4.16918350427248
65,싫은,2021-05-01,14,0,-4.16918350427248
66,어려워,2021-05-01,14,0,-4.16918350427248
67,힘겹게,2021-05-01,14,0,-4.16918350427248
68,좋아,2021-05-01,0,271,4.14466876312573
69,이쁜,2021-05-01,0,266,4.12611535522998
70,멘붕,2021-05-01,13,0,-4.10019063278552
71,못하게,2021-05-01,13,0,-4.10019063278552
72,불편함,2021-05-01,13,0,-4.10019063278552
73,아프다,2021-05-01,13,0,-4.10019063278552
74,어려울,2021-05-01,13,0,-4.10019063278552
75,울고,2021-05-01,13,0,-4.10019063278552
76,짜증,2021-05-01,13,0,-4.10019063278552
77,따뜻한,2021-05-01,0,251,4.06829578434116
78,맛있다,2021-05-01,0,246,4.04825503345771
79,망할,2021-05-01,12,0,-4.0260826606318
80,무서워하는,2021-05-01,12,0,-4.0260826606318
81,바보,2021-05-01,12,0,-4.0260826606318
82,환상,2021-05-01,12,0,-4.0260826606318
83,즐거운,2021-05-01,0,232,3.98990515039543
84,예쁘고,2021-05-01,0,223,3.95051274868477
85,귀찮은,2021-05-01,11,0,-3.94603995295827
86,불편하고,2021-05-01,11,0,-3.94603995295827
87,불편할,2021-05-01,11,0,-3.94603995295827
88,시끄럽게,2021-05-01,11,0,-3.94603995295827
89,시끄럽고,2021-05-01,11,0,-3.94603995295827
90,쓸데없이,2021-05-01,11,0,-3.94603995295827
91,아플,2021-05-01,11,0,-3.94603995295827
92,어려움,2021-05-01,11,0,-3.94603995295827
93,거친,2021-05-01,10,0,-3.85902857596864
94,사악한,2021-05-01,10,0,-3.85902857596864
95,아프고,2021-05-01,10,0,-3.85902857596864
96,장애인,2021-05-01,10,0,-3.85902857596864
97,많다,2021-05-01,0,198,3.83217152155423
98,최고,2021-05-01,0,197,3.82713372752427
99,맑은,2021-05-01,0,188,3.78061371188938
100,무서움,2021-05-01,9,0,-3.76371839616431
