,word,date,neg,pos,log_odds_ratio
1,해가,2020-07-01,350,0,-7.22772281547777
2,해,2020-07-01,222,0,-6.77410836347203
3,못하고,2020-07-01,192,0,-6.62962678091679
4,힘든,2020-07-01,110,0,-6.07646679332424
5,흐린,2020-07-01,107,0,-6.04906781913613
6,좋은,2020-07-01,0,1636,6.03368398535923
7,비싼,2020-07-01,100,0,-5.98205710885317
8,아니다,2020-07-01,92,0,-5.89953608516516
9,분에,2020-07-01,88,0,-5.85557296174405
10,걱정,2020-07-01,85,0,-5.82128388826541
11,무서워서,2020-07-01,72,0,-5.6573960331603
12,병,2020-07-01,60,0,-5.47781045618522
13,잘못,2020-07-01,60,0,-5.47781045618522
14,예쁜,2020-07-01,0,928,5.46717214680193
15,힘들게,2020-07-01,55,0,-5.39228828274706
16,맛집,2020-07-01,0,681,5.15809306583156
17,미친,2020-07-01,43,0,-5.15112622593017
18,불편한,2020-07-01,42,0,-5.12813670770547
19,힘들,2020-07-01,42,0,-5.12813670770547
20,싫어하는,2020-07-01,41,0,-5.10460621029527
21,화,2020-07-01,41,0,-5.10460621029527
22,어려운,2020-07-01,40,0,-5.08050865871621
23,좋아하는,2020-07-01,0,629,5.07878322737367
24,힘들다,2020-07-01,39,0,-5.05581604612584
25,맛있게,2020-07-01,0,610,5.04816036715969
26,싫어서,2020-07-01,37,0,-5.00452275173829
27,심하게,2020-07-01,37,0,-5.00452275173829
28,후회,2020-07-01,35,0,-4.95045553046802
29,맛있는,2020-07-01,0,531,4.90970689732974
30,못하게,2020-07-01,33,0,-4.89329711662807
31,비싸다,2020-07-01,32,0,-4.86344415347839
32,좋다,2020-07-01,0,473,4.79427072968317
33,무서운,2020-07-01,29,0,-4.76813397367406
34,슬픈,2020-07-01,29,0,-4.76813397367406
35,무서워,2020-07-01,28,0,-4.73423242199838
36,실망,2020-07-01,28,0,-4.73423242199838
37,좋을,2020-07-01,0,439,4.7198381349004
38,좋고,2020-07-01,0,438,4.71756282106326
39,부담,2020-07-01,27,0,-4.69914110218711
40,망할,2020-07-01,26,0,-4.66277345801624
41,부족한,2020-07-01,26,0,-4.66277345801624
42,좋아서,2020-07-01,0,412,4.65651100094913
43,귀여운,2020-07-01,0,390,4.60177096797346
44,스트레스,2020-07-01,24,0,-4.58581241688011
45,아름다운,2020-07-01,0,375,4.56265255137799
46,거짓말,2020-07-01,23,0,-4.54499042235985
47,분이나,2020-07-01,22,0,-4.50243080794106
48,아파서,2020-07-01,22,0,-4.50243080794106
49,비만,2020-07-01,21,0,-4.45797904537022
50,벌,2020-07-01,20,0,-4.41145902973533
51,싫은,2020-07-01,20,0,-4.41145902973533
52,어려울,2020-07-01,20,0,-4.41145902973533
53,예쁘게,2020-07-01,0,307,4.36316319096167
54,화가,2020-07-01,19,0,-4.3626688655659
55,편하게,2020-07-01,0,294,4.32003876432791
56,무섭고,2020-07-01,18,0,-4.31137557117835
57,맛있다,2020-07-01,0,280,4.27141807732184
58,싫다고,2020-07-01,17,0,-4.25730834990807
59,울고,2020-07-01,17,0,-4.25730834990807
60,이쁜,2020-07-01,0,275,4.25346427370524
61,어렵다,2020-07-01,16,0,-4.20014993606812
62,짜증,2020-07-01,16,0,-4.20014993606812
63,환상,2020-07-01,16,0,-4.20014993606812
64,무섭다,2020-07-01,15,0,-4.13952531425169
65,병이,2020-07-01,15,0,-4.13952531425169
66,심한,2020-07-01,15,0,-4.13952531425169
67,어려워서,2020-07-01,15,0,-4.13952531425169
68,어렵고,2020-07-01,15,0,-4.13952531425169
69,죄송합니다,2020-07-01,15,0,-4.13952531425169
70,짜증이,2020-07-01,15,0,-4.13952531425169
71,살기,2020-07-01,14,0,-4.07498679311412
72,아픈,2020-07-01,14,0,-4.07498679311412
73,어려움,2020-07-01,14,0,-4.07498679311412
74,어려워,2020-07-01,14,0,-4.07498679311412
75,어렵게,2020-07-01,14,0,-4.07498679311412
76,즐거운,2020-07-01,0,222,4.04023517944821
77,맑은,2020-07-01,0,219,4.02669095434045
78,예쁘고,2020-07-01,0,217,4.01755847077718
79,좋아,2020-07-01,0,215,4.00834181567226
80,거친,2020-07-01,13,0,-4.00599392162717
81,나쁜,2020-07-01,13,0,-4.00599392162717
82,바보,2020-07-01,13,0,-4.00599392162717
83,불편함,2020-07-01,13,0,-4.00599392162717
84,시끄럽고,2020-07-01,13,0,-4.00599392162717
85,싫고,2020-07-01,13,0,-4.00599392162717
86,최고,2020-07-01,0,206,3.96578220125346
87,사악한,2020-07-01,12,0,-3.93188594947344
88,쓸데없는,2020-07-01,12,0,-3.93188594947344
89,위험한,2020-07-01,12,0,-3.93188594947344
90,많다,2020-07-01,0,191,3.89055878001587
91,무서움,2020-07-01,11,0,-3.85184324179991
92,불편할,2020-07-01,11,0,-3.85184324179991
93,싫다,2020-07-01,11,0,-3.85184324179991
94,따뜻한,2020-07-01,0,183,3.84799916559708
95,무서울,2020-07-01,10,0,-3.76483186481028
96,아파,2020-07-01,10,0,-3.76483186481028
97,장애인,2020-07-01,10,0,-3.76483186481028
98,행복한,2020-07-01,0,168,3.76296212291117
99,예쁘다,2020-07-01,0,160,3.71446777297256
100,좋게,2020-07-01,0,158,3.70196761020832
