,word,date,neg,pos,log_odds_ratio
1,해가,2020-03-01,263,0,-6.81738897407889
2,해,2020-03-01,197,0,-6.52970690162711
3,못하고,2020-03-01,125,0,-6.07772177788406
4,힘든,2020-03-01,92,0,-5.77403936408583
5,좋은,2020-03-01,0,1003,5.6703074293191
6,어려운,2020-03-01,62,0,-5.38457459732411
7,아니다,2020-03-01,52,0,-5.2117317844847
8,예쁜,2020-03-01,0,631,5.20744952321428
9,병,2020-03-01,47,0,-5.11264088184047
10,분에,2020-03-01,47,0,-5.11264088184047
11,걱정,2020-03-01,46,0,-5.09158747264264
12,비싼,2020-03-01,45,0,-5.07008126742167
13,흐린,2020-03-01,38,0,-4.90500151706222
14,무서워서,2020-03-01,36,0,-4.8523577835768
15,힘들,2020-03-01,35,0,-4.82495880938869
16,좋아하는,2020-03-01,0,424,4.81064929799184
17,미친,2020-03-01,30,0,-4.67542707541772
18,잘못,2020-03-01,30,0,-4.67542707541772
19,맛집,2020-03-01,0,336,4.57864305941978
20,무서운,2020-03-01,27,0,-4.57364438110778
21,힘들다,2020-03-01,27,0,-4.57364438110778
22,좋을,2020-03-01,0,313,4.50795311497568
23,힘들게,2020-03-01,25,0,-4.49953640895406
24,좋다,2020-03-01,0,305,4.4821452310198
25,아름다운,2020-03-01,0,299,4.46234260372362
26,맛있게,2020-03-01,0,287,4.42152060920337
27,스트레스,2020-03-01,23,0,-4.41949370128052
28,맛있는,2020-03-01,0,283,4.40753436722863
29,심하게,2020-03-01,22,0,-4.37693408686173
30,귀여운,2020-03-01,0,273,4.37168823545549
31,무서워,2020-03-01,21,0,-4.33248232429089
32,못하게,2020-03-01,20,0,-4.285962308656
33,슬픈,2020-03-01,20,0,-4.285962308656
34,싫어서,2020-03-01,20,0,-4.285962308656
35,싫어하는,2020-03-01,20,0,-4.285962308656
36,부담,2020-03-01,19,0,-4.23717214448657
37,아파서,2020-03-01,19,0,-4.23717214448657
38,좋고,2020-03-01,0,234,4.21814564321158
39,부족한,2020-03-01,18,0,-4.18587885009902
40,예쁘게,2020-03-01,0,217,4.14305519185651
41,좋아서,2020-03-01,0,215,4.13383853675159
42,실망,2020-03-01,17,0,-4.13181162882874
43,심한,2020-03-01,17,0,-4.13181162882874
44,어려울,2020-03-01,17,0,-4.13181162882874
45,후회,2020-03-01,17,0,-4.13181162882874
46,따뜻한,2020-03-01,0,206,4.09127892233279
47,어렵다,2020-03-01,16,0,-4.07465321498879
48,이기적인,2020-03-01,16,0,-4.07465321498879
49,화,2020-03-01,16,0,-4.07465321498879
50,불편한,2020-03-01,15,0,-4.01402859317236
51,비싸다,2020-03-01,15,0,-4.01402859317236
52,화가,2020-03-01,15,0,-4.01402859317236
53,살기,2020-03-01,14,0,-3.94949007203479
54,편하게,2020-03-01,0,175,3.92904412410557
55,맛있다,2020-03-01,0,174,3.92334610299094
56,나쁜,2020-03-01,13,0,-3.88049720054784
57,거짓말,2020-03-01,12,0,-3.80638922839411
58,욕,2020-03-01,12,0,-3.80638922839411
59,힘겹게,2020-03-01,12,0,-3.80638922839411
60,병을,2020-03-01,11,0,-3.72634652072058
61,불안한,2020-03-01,11,0,-3.72634652072058
62,불편함,2020-03-01,11,0,-3.72634652072058
63,손해,2020-03-01,11,0,-3.72634652072058
64,이쁜,2020-03-01,0,141,3.71438718666868
65,좋아,2020-03-01,0,133,3.65639992901833
66,맑은,2020-03-01,0,131,3.64136205165379
67,망할,2020-03-01,10,0,-3.63933514373095
68,무섭고,2020-03-01,10,0,-3.63933514373095
69,벌,2020-03-01,10,0,-3.63933514373095
70,어려워서,2020-03-01,10,0,-3.63933514373095
71,어렵고,2020-03-01,10,0,-3.63933514373095
72,울고,2020-03-01,10,0,-3.63933514373095
73,많다,2020-03-01,0,128,3.61837253342909
74,최고,2020-03-01,0,128,3.61837253342909
75,예쁘다,2020-03-01,0,126,3.60274721552601
76,바보,2020-03-01,9,0,-3.54402496392662
77,심각한,2020-03-01,9,0,-3.54402496392662
78,어려워,2020-03-01,9,0,-3.54402496392662
79,무서워하는,2020-03-01,8,0,-3.4386644482688
80,싫고,2020-03-01,8,0,-3.4386644482688
81,아프고,2020-03-01,8,0,-3.4386644482688
82,짜증,2020-03-01,8,0,-3.4386644482688
83,짜증이,2020-03-01,8,0,-3.4386644482688
84,예쁘고,2020-03-01,0,106,3.43138896352933
85,행복한,2020-03-01,0,95,3.32290832053526
86,불편할,2020-03-01,7,0,-3.32088141261241
87,싫다고,2020-03-01,7,0,-3.32088141261241
88,쓸데없는,2020-03-01,7,0,-3.32088141261241
89,위험이,2020-03-01,7,0,-3.32088141261241
90,잘못된,2020-03-01,7,0,-3.32088141261241
91,최악의,2020-03-01,7,0,-3.32088141261241
92,즐거운,2020-03-01,0,85,3.21290742532093
93,거친,2020-03-01,6,0,-3.18735001998789
94,막혀,2020-03-01,6,0,-3.18735001998789
95,무서울,2020-03-01,6,0,-3.18735001998789
96,불만,2020-03-01,6,0,-3.18735001998789
97,비만,2020-03-01,6,0,-3.18735001998789
98,속상,2020-03-01,6,0,-3.18735001998789
99,아픈,2020-03-01,6,0,-3.18735001998789
100,어려움,2020-03-01,6,0,-3.18735001998789
