,word,date,neg,pos,log_odds_ratio
1,해가,2020-12-01,397,0,-7.33626458001212
2,해,2020-12-01,252,0,-6.8832020634552
3,못하고,2020-12-01,141,0,-6.30563963232894
4,힘든,2020-12-01,102,0,-5.98454156295732
5,좋은,2020-12-01,0,1423,5.91141251724424
6,분에,2020-12-01,81,0,-5.75653182199194
7,비싼,2020-12-01,74,0,-5.66730068826399
8,아니다,2020-12-01,73,0,-5.65387766793185
9,무서워서,2020-12-01,65,0,-5.53946731675411
10,걱정,2020-12-01,62,0,-5.49294730111922
11,흐린,2020-12-01,56,0,-5.39286384256223
12,어려운,2020-12-01,55,0,-5.37516426546283
13,예쁜,2020-12-01,0,789,5.32222037073338
14,병,2020-12-01,48,0,-5.24163287283831
15,잘못,2020-12-01,45,0,-5.17845397121678
16,힘들,2020-12-01,43,0,-5.13400220864595
17,힘들다,2020-12-01,41,0,-5.08748219301105
18,힘들게,2020-12-01,39,0,-5.03869202884162
19,좋아하는,2020-12-01,0,560,4.97990833079501
20,불편한,2020-12-01,36,0,-4.96073048737191
21,싫어하는,2020-12-01,35,0,-4.93333151318379
22,맛집,2020-12-01,0,526,4.91738797381368
23,못하게,2020-12-01,33,0,-4.87617309934385
24,맛있는,2020-12-01,0,479,4.82397352917425
25,미친,2020-12-01,30,0,-4.78379977921283
26,심하게,2020-12-01,30,0,-4.78379977921283
27,맛있게,2020-12-01,0,455,4.7726802347867
28,아파서,2020-12-01,28,0,-4.71710840471416
29,화,2020-12-01,28,0,-4.71710840471416
30,좋을,2020-12-01,0,427,4.70931062085411
31,어렵게,2020-12-01,27,0,-4.68201708490289
32,귀여운,2020-12-01,0,403,4.65160230323347
33,부담,2020-12-01,26,0,-4.64564944073201
34,살기,2020-12-01,26,0,-4.64564944073201
35,스트레스,2020-12-01,26,0,-4.64564944073201
36,무서운,2020-12-01,25,0,-4.60790911274917
37,무서워,2020-12-01,25,0,-4.60790911274917
38,좋고,2020-12-01,0,377,4.5850816208919
39,부족한,2020-12-01,24,0,-4.56868839959589
40,슬픈,2020-12-01,24,0,-4.56868839959589
41,아름다운,2020-12-01,0,356,4.52792320705195
42,어려울,2020-12-01,23,0,-4.52786640507563
43,싫어서,2020-12-01,22,0,-4.48530679065683
44,좋아서,2020-12-01,0,336,4.47027035562468
45,좋다,2020-12-01,0,327,4.44320103365646
46,후회,2020-12-01,20,0,-4.39433501245111
47,따뜻한,2020-12-01,0,311,4.3931906130818
48,거짓말,2020-12-01,19,0,-4.34554484828168
49,불편함,2020-12-01,19,0,-4.34554484828168
50,장애인,2020-12-01,17,0,-4.24018433262385
51,예쁘게,2020-12-01,0,265,4.23368373405401
52,편하게,2020-12-01,0,263,4.22613652841863
53,심한,2020-12-01,16,0,-4.1830259187839
54,실망,2020-12-01,15,0,-4.12240129696747
55,울고,2020-12-01,15,0,-4.12240129696747
56,나쁜,2020-12-01,14,0,-4.05786277582989
57,무섭고,2020-12-01,14,0,-4.05786277582989
58,싫다고,2020-12-01,14,0,-4.05786277582989
59,화가,2020-12-01,14,0,-4.05786277582989
60,망할,2020-12-01,13,0,-3.98886990434294
61,어렵다,2020-12-01,13,0,-3.98886990434294
62,위험한,2020-12-01,13,0,-3.98886990434294
63,죄송합니다,2020-12-01,13,0,-3.98886990434294
64,이쁜,2020-12-01,0,202,3.9633934043141
65,맛있다,2020-12-01,0,194,3.92318698383606
66,막혀,2020-12-01,12,0,-3.91476193218922
67,불편,2020-12-01,12,0,-3.91476193218922
68,어렵고,2020-12-01,12,0,-3.91476193218922
69,짜증,2020-12-01,12,0,-3.91476193218922
70,좋아,2020-12-01,0,189,3.8972114974328
71,거친,2020-12-01,11,0,-3.83471922451568
72,병이,2020-12-01,11,0,-3.83471922451568
73,분이나,2020-12-01,11,0,-3.83471922451568
74,비싸다,2020-12-01,11,0,-3.83471922451568
75,아프고,2020-12-01,11,0,-3.83471922451568
76,어려워서,2020-12-01,11,0,-3.83471922451568
77,환상,2020-12-01,11,0,-3.83471922451568
78,즐거운,2020-12-01,0,169,3.78598586232258
79,최고,2020-12-01,0,169,3.78598586232258
80,예쁘고,2020-12-01,0,163,3.75005385309651
81,속상,2020-12-01,10,0,-3.74770784752605
82,싫다,2020-12-01,10,0,-3.74770784752605
83,쓸쓸한,2020-12-01,10,0,-3.74770784752605
84,우울한,2020-12-01,10,0,-3.74770784752605
85,위험이,2020-12-01,10,0,-3.74770784752605
86,힘겹게,2020-12-01,10,0,-3.74770784752605
87,맑은,2020-12-01,0,155,3.70004343252185
88,행복한,2020-12-01,0,148,3.65413373121778
89,무서워하는,2020-12-01,9,0,-3.65239766772173
90,무섭다,2020-12-01,9,0,-3.65239766772173
91,바보,2020-12-01,9,0,-3.65239766772173
92,병을,2020-12-01,9,0,-3.65239766772173
93,싫고,2020-12-01,9,0,-3.65239766772173
94,아픈,2020-12-01,9,0,-3.65239766772173
95,어려워,2020-12-01,9,0,-3.65239766772173
96,많다,2020-12-01,0,139,3.59182984788162
97,노예,2020-12-01,8,0,-3.5470371520639
98,부담스러운,2020-12-01,8,0,-3.5470371520639
99,불안한,2020-12-01,8,0,-3.5470371520639
100,좋게,2020-12-01,0,129,3.5177218757279
