,word,date,neg,pos,log_odds_ratio
1,해가,2020-11-01,562,0,-7.68301639352578
2,해,2020-11-01,343,0,-7.19037842275949
3,못하고,2020-11-01,178,0,-6.53712257122685
4,분에,2020-11-01,164,0,-6.45568223928667
5,비싼,2020-11-01,127,0,-6.20176702930571
6,아니다,2020-11-01,121,0,-6.15375781011935
7,힘든,2020-11-01,117,0,-6.12042138985176
8,좋은,2020-11-01,0,1704,6.09158362433152
9,무서워서,2020-11-01,75,0,-5.68047010567242
10,걱정,2020-11-01,72,0,-5.64019620653448
11,병,2020-11-01,70,0,-5.61241664242741
12,흐린,2020-11-01,68,0,-5.58384326998335
13,예쁜,2020-11-01,0,1001,5.56001651625872
14,힘들게,2020-11-01,62,0,-5.49287149177763
15,잘못,2020-11-01,59,0,-5.44408132760819
16,어려운,2020-11-01,57,0,-5.41017977593251
17,힘들다,2020-11-01,53,0,-5.33872081195037
18,힘들,2020-11-01,49,0,-5.26175977081424
19,좋아하는,2020-11-01,0,681,5.17529289245737
20,맛있게,2020-11-01,0,657,5.13946816593922
21,맛집,2020-11-01,0,657,5.13946816593922
22,화,2020-11-01,42,0,-5.11093688107966
23,후회,2020-11-01,41,0,-5.08740638366946
24,맛있는,2020-11-01,0,614,5.07188550242043
25,심하게,2020-11-01,40,0,-5.0633088320904
26,아파서,2020-11-01,40,0,-5.0633088320904
27,스트레스,2020-11-01,39,0,-5.03861621950003
28,미친,2020-11-01,38,0,-5.01329841151574
29,좋다,2020-11-01,0,576,5.00810550112201
30,싫어서,2020-11-01,37,0,-4.98732292511248
31,좋을,2020-11-01,0,553,4.96742792136119
32,슬픈,2020-11-01,36,0,-4.96065467803032
33,부족한,2020-11-01,35,0,-4.9332557038422
34,무서운,2020-11-01,34,0,-4.90508482687551
35,무서워,2020-11-01,34,0,-4.90508482687551
36,불편한,2020-11-01,34,0,-4.90508482687551
37,좋고,2020-11-01,0,497,4.86086331163856
38,귀여운,2020-11-01,0,483,4.83234814133054
39,좋아서,2020-11-01,0,470,4.80512132863032
40,싫어하는,2020-11-01,30,0,-4.78372396987124
41,아름다운,2020-11-01,0,453,4.76836043265526
42,비싸다,2020-11-01,29,0,-4.75093414704825
43,못하게,2020-11-01,27,0,-4.6819412755613
44,부담,2020-11-01,27,0,-4.6819412755613
45,편하게,2020-11-01,0,403,4.65167811257506
46,거친,2020-11-01,26,0,-4.64557363139042
47,실망,2020-11-01,25,0,-4.60783330340757
48,살기,2020-11-01,24,0,-4.56861259025429
49,싫은,2020-11-01,24,0,-4.56861259025429
50,심한,2020-11-01,24,0,-4.56861259025429
51,분이나,2020-11-01,23,0,-4.52779059573404
52,거짓말,2020-11-01,22,0,-4.48523098131524
53,무섭다,2020-11-01,22,0,-4.48523098131524
54,예쁘게,2020-11-01,0,334,4.46439376643897
55,싫고,2020-11-01,21,0,-4.44077921874441
56,아픈,2020-11-01,21,0,-4.44077921874441
57,따뜻한,2020-11-01,0,319,4.41858423040768
58,장애인,2020-11-01,20,0,-4.39425920310952
59,화가,2020-11-01,20,0,-4.39425920310952
60,불편함,2020-11-01,19,0,-4.34546903894008
61,어렵게,2020-11-01,19,0,-4.34546903894008
62,환상,2020-11-01,19,0,-4.34546903894008
63,맛있다,2020-11-01,0,287,4.31322371474985
64,이쁜,2020-11-01,0,269,4.24868519361228
65,어려워,2020-11-01,17,0,-4.24010852328226
66,힘겹게,2020-11-01,17,0,-4.24010852328226
67,즐거운,2020-11-01,0,266,4.23751189301416
68,좋아,2020-11-01,0,262,4.22241726679167
69,싫다,2020-11-01,16,0,-4.18295010944231
70,어려울,2020-11-01,16,0,-4.18295010944231
71,예쁘고,2020-11-01,0,237,4.12253390828538
72,아프고,2020-11-01,15,0,-4.12232548762587
73,어렵다,2020-11-01,15,0,-4.12232548762587
74,최고,2020-11-01,0,232,4.10130168817961
75,불편,2020-11-01,14,0,-4.0577869664883
76,맑은,2020-11-01,0,209,3.99737076533138
77,귀찮은,2020-11-01,13,0,-3.98879409500135
78,나쁜,2020-11-01,13,0,-3.98879409500135
79,무서워하는,2020-11-01,13,0,-3.98879409500135
80,벌,2020-11-01,13,0,-3.98879409500135
81,병을,2020-11-01,13,0,-3.98879409500135
82,불편할,2020-11-01,13,0,-3.98879409500135
83,어렵고,2020-11-01,13,0,-3.98879409500135
84,행복한,2020-11-01,0,206,3.98298202787928
85,많다,2020-11-01,0,204,3.97327321375232
86,예쁘다,2020-11-01,0,195,3.92837789384442
87,망할,2020-11-01,12,0,-3.91468612284763
88,바보,2020-11-01,12,0,-3.91468612284763
89,싫다고,2020-11-01,12,0,-3.91468612284763
90,위험한,2020-11-01,12,0,-3.91468612284763
91,무섭고,2020-11-01,11,0,-3.83464341517409
92,슬프다,2020-11-01,11,0,-3.83464341517409
93,아파,2020-11-01,11,0,-3.83464341517409
94,울고,2020-11-01,11,0,-3.83464341517409
95,비추천,2020-11-01,10,0,-3.74763203818446
96,심각하게,2020-11-01,10,0,-3.74763203818446
97,아프다,2020-11-01,10,0,-3.74763203818446
98,어려워서,2020-11-01,10,0,-3.74763203818446
99,욕,2020-11-01,10,0,-3.74763203818446
100,잘못된,2020-11-01,10,0,-3.74763203818446
