,word,freq
1,제주도민,1
2,어느식당을,1
3,브런치가,1
4,카운터입니당,1
5,제주혼밥,1
6,원래는,1
7,벵디,1
8,같은,1
9,베드룸,1
10,이라는,1
11,가시어멍오빠는,1
12,감성돋는,1
13,갯강구왜이렇게,1
14,검은여,1
15,게르로,1
16,고르곤졸라,1
17,고집돌우럭,1
18,고흐,3
19,곰막,1
20,곰막은,1
21,공백제주맛집포스트,1
22,곶자왈,1
23,군산오름이라는,1
24,귤밭,1
25,그것에서의여유가,1
26,그계절,1
27,그계절로,1
28,그공간,1
29,그런거까지,1
30,그레이그루브라는,1
31,그리스로마신화에,1
32,그리스신화박물관에,1
33,금능,1
34,금능해수욕장을,1
35,금오름가는길,1
36,김고기,1
37,김녕,2
38,김영갑,1
39,김정은이라는,1
40,김해공항,1
41,김해공항라운지주차장,1
42,김희선,1
43,깍은,1
44,깡총,1
45,나혼자,1
46,난드르또한,1
47,난드르바당,1
48,남원,1
49,남원과,1
50,남제주군,1
51,너티,1
52,네이버,2
53,논짓물,1
54,논짓물이라고,1
55,뉴유니버스랑은,1
56,느영나영이라는,1
57,늘봄을,1
58,다해정,1
59,달자카페다,1
60,당케올레국수,1
61,댕강한,1
62,더꽃돈으로,1
63,더라이트,1
64,더아트스테이함덕호텔,1
65,더클리프,2
66,더플레이스,1
67,덤보보며,1
68,데굴,1
69,데빌스,1
70,데일리와인,1
71,도갈비,1
72,도너츠윤에,1
73,도두해녀,1
74,도렐,1
75,도순다원에서,1
76,돈내코,1
77,돈방석조개구이제주맛집포스트청귤소바가,1
78,돔베로,1
79,돗멘이라는,1
80,동백길걷다,1
81,듀플렉스,1
82,듀플렉스,1
83,드르쿰다가,1
84,드르쿰다는,2
85,드르쿰다라는,1
86,드르쿰다를,1
87,디럭스,1
88,디스커버,1
89,딱새우회라면,1
90,떡하니에,1
91,뛔미,1
92,뛔밋개,1
93,띠띠뽀를,1
94,띠띠뽀였다,1
95,띠로롱,1
96,라마다앙코르제주서귀포호텔,1
97,라마다제주시티홀과,1
98,레이식당,1
99,레이플렛전용지는,1
100,로디,1
101,로렉스가,1
102,롤링스톤즈도,1
103,리치망고에,1
104,리치호텔,1
105,립톤,1
106,마노르블랑,1
107,마농,1
108,마라도로,1
109,마리아로,1
110,마리아를,1
111,마우돈,1
112,마음아,1
113,마이어스,1
114,마틸다에,1
115,만복흑돼지,1
116,만족한상회맛있게,1
117,맛집을,1
118,망한필름사진모음집을,1
119,머쉬룸,1
120,멀레,1
121,메옹이메옹이,1
122,메옹이httpswww,1
123,명진전복을,1
124,모드락,1
125,모알보알을,1
126,모카다방,1
127,몬딱,1
128,몸국,1
129,몸냥식탁,1
130,못타면,1
131,무한야끼,1
132,무한야끼로,1
133,문수물,1
134,미안허이,1
135,미영이네를,1
136,미키쇼,1
137,바다속고등어쌈밥,1
138,바로출발서비스에,1
139,바미,1
140,바비가,2
141,바비로,1
142,바이나흐튼,3
143,바이나흐튼은,1
144,박서아는,1
145,밖거리라고,1
146,밖거리이다,1
147,반인분g이,1
148,밤도깨비를,1
149,밤수지맨드라미,1
150,배달앱을,1
151,뱅디는,1
152,벨라진,1
153,벵가,1
154,벵디,2
155,벵디가게,1
156,봉성식당이었는데,1
157,브로콜리라고,1
158,브로콜리를,1
159,브릭,1
160,블로그,1
161,빈센트,1
162,빌레,1
163,빛의벙커,1
164,빛의벙커제주도여행,1
165,뽀로로,1
166,뽀로로가,1
167,뿔난돼지라는,1
168,사려니숲길,1
169,사바스시라는,1
170,사우스바운더에,1
171,살찐고등어,1
172,살찐고등어살찐고등어에서,1
173,살찐고등어라는,1
174,삼양해수욕장,1
175,새물이라는곳인데,1
176,새빌이라는,1
177,새빌카페,1
178,새연교였어요새연교,1
179,새우장덮밥,1
180,서귀포농산물이라고,1
181,서귀포매일올레시장에,1
182,서귀포에서,1
183,서연의집,1
184,서울,1
185,설록,1
186,섭지,1
187,섭지에,1
188,섭지코지로,2
189,섭지코지로,1
190,섭지코지로를,1
191,성산항여객터미널로,1
192,성아시,1
193,세러데이,1
194,세화소품관,1
195,세화씨,1
196,소금빌레라고,1
197,소섬전복,1
198,소소재,1
199,소소재다소소재를,1
200,소프레나라는,1
201,송당리,2
202,송악산하면,1
203,송악힐링풋스킨을,1
204,송악힐링풋스킨이에요,1
205,수퍼레시피,2
206,쉰대요,1
207,슈슈그린,1
208,스카이워터쇼다이나믹메이저,1
209,스탠다드,1
210,스터디북,1
211,스테이,1
212,스테이위드커피,1
213,스파이더맨,1
214,슬슬슬로우에,1
215,승선권예매,1
216,시니컬하셔서,1
217,시미즈,1
218,시흥해녀,2
219,신라에코백이라고,1
220,아고다,1
221,아남떡집에,1
222,아무튼,1
223,아바타를,1
224,아시아나,1
225,아점을,1
226,아줄레주란,1
227,안나공주,1
228,안녕협재씨,1
229,안돌오름,1
230,안돌오름을,1
231,알뜨르란,1
232,알뜨르에서,1
233,애월,2
234,애월,1
235,애월리안인데,1
236,액션홍구는,1
237,어물전인데요,1
238,어썸트립이라는,1
239,어후,1
240,언택트,1
241,언택트,1
242,얼그레이,1
243,얼죽아얼어,1
244,엉또는,1
245,에비산도타마고산도카츠산도,1
246,에코,1
247,여의도순복음교회,1
248,열일하다,1
249,영미라는,1
250,영어스러운,1
251,영차,1
252,오는정김밥,1
253,오롯,1
254,오메기떡을,1
255,오설록,1
256,오전까진,1
257,올래국수,1
258,올레,2
259,올레는,1
260,올레라는,2
261,올레국수,2
262,올레길과,1
263,올레차이나타운,2
264,올리튼,1
265,요레라는,1
266,요망진브릭이라는,1
267,요스케라고,1
268,요스케라는,1
269,요요무문寥寥無聞명예나,1
270,용눈이,1
271,용왕난드르라고,1
272,우럭아,1
273,우무에요,1
274,우진해장국,1
275,우진해장국이었다,1
276,우한폐렴이라는,1
277,운진항으로,1
278,원앤온리로,1
279,월정리,1
280,위미리爲美里가,1
281,위미리동백군락지를,1
282,유퀴즈온더블럭과,1
283,윤을,1
284,이너프에서,1
285,이딴,1
286,이시돌은,1
287,이정도야,1
288,이호테우,3
289,이호테우해수욕장을,1
290,인더비엣오른쪽,1
291,임피제라는,1
292,자왈은,1
293,재밌게,1
294,절물이란,1
295,젊구먼,1
296,정방폭포도,1
297,정희네,1
298,정희네해물탕,2
299,제갈량,1
300,제갈량은,1
301,제이학센,1
302,제임스,1
303,제주스러운,1
304,제주마씸마크도,1
305,제주마음샌드라고,1
306,제주본참숯불갈비반찬도,1
307,제주순메밀막국수로,1
308,제주에인감귤밭,1
309,제주책방올레,1
310,제주책방올레는,1
311,제주홀스,1
312,젠틀리,1
313,조수리플로어이다,1
314,준바이크,1
315,준코라고,1
316,준코라는,1
317,진아떡집,1
318,쭈쭈바,1
319,찰칵찰칵,1
320,책방올레버스도,1
321,초록하는,1
322,초마드도,1
323,추노를,1
324,춘심이네,1
325,치저스에서,1
326,카멜리아,1
327,카멜리아힐,2
328,카멜리아힐어디선가,1
329,캐논,1
330,코데리아,1
331,코로나,1
332,코시롱에서,1
333,코코리파이프로,1
334,코코티에,1
335,콩콩이를,1
336,쿰다라는,1
337,퀸메리호,1
338,퀸메리호를,1
339,크림슨펀치라는,1
340,큰엉,1
341,큰엉은,1
342,큰엉식당,3
343,큰엉해안경승지이다,1
344,클랭블루가,1
345,클린올레올레길을,1
346,클린올레에,1
