,word,freq
1,날것그대로,1
2,아쉬운대로,1
3,차귀도,1
4,입구,1
5,오메나,1
6,<U+0301><U+0300>,1
7,연말과,1
8,책방에서,1
9,명이였습니다,1
10,nw로,1
11,가릿여라고,2
12,가멍오명숲길을,1
13,가방줍쇼,1
14,가을시즌년,1
15,각명비년,1
16,감귤모찌,2
17,게르라는,1
18,게우는,1
19,경민씨는,1
20,고깃집이,1
21,고성환승정류장고성리,1
22,고잉메리,1
23,고잉메리스테이션이라는,1
24,고즈넉아름답고,1
25,고흐와,1
26,골목풍경위,1
27,공새미,1
28,곶숲과,1
29,관덕이란,1
30,관치기가,1
31,관치기라는,1
32,광명사光明寺,1
33,광치기,2
34,광치기가,1
35,광치기라는,1
36,광해군이,1
37,괸당,1
38,구쟁기가,1
39,구해줘홈즈에,1
40,군산이라,1
41,굴메오름이라고,1
42,귤귀도리,1
43,그계절,1
44,그계절,1
45,그계절에서,1
46,그공간,1
47,그랜드메르,1
48,그럴땐,1
49,그저,1
50,그저님진행자이,1
51,근데,1
52,금능,1
53,금능해수욕장,2
54,금능해수욕장입니다,1
55,금오름,1
56,금오름이,1
57,금오름입니다,1
58,기꺼이,1
59,김동률,1
60,김만복,2
61,김창열미술관입니다,1
62,김태희는,1
63,김희선,2
64,꿀타민입니다전,1
65,꿈사리,1
66,난드르,1
67,난드르,1
68,난드르라는,1
69,난리났네,1
70,너도보이니,1
71,너무한거,1
72,너븐팡호스텔,1
73,네이버,1
74,노꼬메,1
75,노꼬메로,1
76,노라바에,1
77,녹고,1
78,녹고물,1
79,놀라운토요일,1
80,놉고메에서,1
81,늘봄흑돼지,1
82,니가,3
83,다사다난했던,1
84,다옴,1
85,다옴입니다바로,1
86,달에물들다,1
87,달콤하우스란다,1
88,당오름이라,1
89,대방어,1
90,대방어로,1
91,대방어머리구이,1
92,더본호텔로,1
93,더캔버스는,1
94,데일리호텔에서,1
95,덴드리,1
96,델문도,1
97,도담밥을,1
98,도두동,1
99,도두항,1
100,도르레로,1
101,돈코츠가,1
102,돌카롱에서,1
103,돔베라고,1
104,동洞단위,1
105,두가시앤오가니크라는,1
106,두맹이골목,1
107,드르는,1
108,드피에드,1
109,디아넥스,1
110,디앤디파트먼트로,1
111,따로,1
112,땡큐제주렌터카,1
113,뜨르랑,1
114,라닝,2
115,라파엘호를,1
116,랜디스,1
117,랜디스도넛을,1
118,럭스테이,1
119,럭스테이ugty를,1
120,럭스테이는,1
121,론강,1
122,롯데샌드,1
123,료리야에서,1
124,루시드봉봉,2
125,루카도,1
126,리젠트마린,1
127,마노르블랑,1
128,마따니아펜션이라는,1
129,마르rr형,1
130,만생종일반적,1
131,만쟁이,1
132,만춘서점,1
133,맛있는거,1
134,맛집,1
135,맛집여행,1
136,맨도롱,1
137,머묾에,1
138,머슈롬,1
139,먼나무위와,1
140,멀왓스테이펜션이에요,1
141,명월국민학교라는,1
142,모알보알,1
143,모카,1
144,몬닭양념간장,1
145,몬스터살롱에서,1
146,몸국,1
147,몸국이,1
148,무농약,1
149,문과였던,1
150,문쏘,1
151,뭉갈뭉갈,1
152,믕딩,1
153,민트,1
154,바굼지오름으로,1
155,바굼지오름이라,1
156,바램목장카페,1
157,바질,1
158,바카vcc에서,1
159,반지룽하다,1
160,밥깡패라고,1
161,밥깡패라는,1
162,밧돌게스트하우스로,1
163,방어모슬포,1
164,백기해녀,1
165,백년초콜릿크런치케이크,1
166,백신vccine이라는,1
167,백종원호텔이라고도,1
168,백켓담은,1
169,뱅디를,1
170,범섬이,1
171,베를린,1
172,변병생모녀상위,1
173,병귤위,1
174,보내다제주에,1
175,복댕이라는,1
176,볼스카페,1
177,북촌다려마을이라는,1
178,붉은방은,1
179,붉음오름이라,1
180,빌레왓에서,1
181,빌레왓으로,1
182,빌레왓이라는,1
183,빌리카를,1
184,뽈살집,1
185,사계해변이란다,1
186,산굼부리,1
187,산굼부리에서,1
188,산방굴사라는,1
189,산방산랜드가,1
190,살레에서,1
191,삼대해녀의집,1
192,삼양이,1
193,상면발효라,1
194,새별오름이었어요아이가,1
195,샐리스,1
196,생생정보에도,1
197,생활폐기물탈플라스틱,1
198,서귀포,1
199,서귀포매일올레시장입니다,1
200,서딸,1
201,서복,1
202,서불,1
203,서불과지서복이,1
204,서울,1
205,섣딸,1
206,섬앤썸,1
207,섭지라는,1
208,섭지코지,3
209,소남머리입니다,1
