word,freq,year,month
제주애퐁당,1,2021,4
스누피가든,1,2021,4
쌍무지개,1,2021,4
목살은,1,2021,4
바로바로,1,2021,4
조아하는,1,2021,4
낭푼밥과,1,2021,4
아메리카노,1,2021,4
흑돼지,1,2021,4
준댕이가,1,2021,4
전기자전거,1,2021,4
밥솥,1,2021,4
<U+06A1>저희는,1,2021,4
언니,1,2021,4
그래도,1,2021,4
이니스프리는,1,2021,4
제주아리온승마장,1,2021,4
하우스에서,1,2021,4
개입,1,2021,4
박일로,1,2021,4
버거입니다,1,2021,4
가르송티미드,1,2021,4
가방은여행중,1,2021,4
가방을부탁해였는데,1,2021,4
가방을부탁해처음,1,2021,4
가배라는,1,2021,4
가보고싶은섬,1,2021,4
가시아방너무,1,2021,4
간만세라는,1,2021,4
감사합니다였다,2,2021,4
갓더라면,1,2021,4
갓더라면은,1,2021,4
갓더라면지나,1,2021,4
건호네,1,2021,4
게우다가,1,2021,4
게우지코지에,1,2021,4
게웃에서,1,2021,4
게파트라는,1,2021,4
고급자차,1,2021,4
고급자차를,1,2021,4
고냉이는,1,2021,4
고로였습니다혼밥,1,2021,4
고성리,2,2021,4
고집돌우럭,5,2021,4
고쿠텐으로,1,2021,4
곶자왈,1,2021,4
곽금,1,2021,4
광치기해변,1,2021,4
광치기해변에,1,2021,4
광치기해변으로,1,2021,4
교래퐁낭,1,2021,4
국수앤,1,2021,4
국수앤가기로,1,2021,4
국수앤가면,1,2021,4
국수앤은,1,2021,4
귤향과즐,1,2021,4
귵밭에,1,2021,4
그냥,1,2021,4
그라벨호텔,1,2021,4
그라빠,1,2021,4
그랜드하얏트제주제주공항,1,2021,4
그리스,1,2021,4
글래드,1,2021,4
금능,2,2021,4
금능해수욕장이,1,2021,4
금오름,1,2021,4
금오름에,1,2021,4
금오름은,1,2021,4
김녕이라고,1,2021,4
김녕오라이,1,2021,4
김녕오라이에서,1,2021,4
김부자,1,2021,4
김종민,1,2021,4
김포공항,1,2021,4
김포공항서,1,2021,4
까라뿔끄라,1,2021,4
깔딱,1,2021,4
끝h,1,2021,4
나나이코에요,1,2021,4
나랑같이걸을래,1,2021,4
난미새,2,2021,4
난미새라는,1,2021,4
남원,1,2021,4
낭구집횟집도,1,2021,4
내도바당횟집크로플이,1,2021,4
노라바,1,2021,4
논짓물식당,1,2021,4
놀맨이였어요,1,2021,4
놀멍놀멍분식집을,1,2021,4
높은오름이었던,1,2021,4
누워잇,1,2021,4
늘봄,1,2021,4
늘봄으로,1,2021,4
니니네,1,2021,4
니르바나로다,1,2021,4
다동,1,2021,4
다랑쉬오름,1,2021,4
달아래팥에서,1,2021,4
닭머르해안,1,2021,4
당케올레국수,1,2021,4
더바섬이라,1,2021,4
더치라떼도,1,2021,4
더핍스시즌으로,1,2021,4
델리카한스인,1,2021,4
델문도카페,1,2021,4
도갈비,2,2021,4
