word,freq,year,month
만쟁이거머리굴로,1,2020,6
제주도쏠라티대절,1,2020,6
제주도일일원데이버스투어,1,2020,6
제주로렌트카,1,2020,6
함덕골목,1,2020,6
에서,1,2020,6
오름으로,1,2020,6
작고,1,2020,6
커스터드도,1,2020,6
아샤나는,1,2020,6
월일월일,1,2020,6
백남준,1,2020,6
가는개,1,2020,6
가보미팀원들과,1,2020,6
갈갈조림이라고,1,2020,6
감귤크럼블,2,2020,6
강식당에,1,2020,6
개콘에서,1,2020,6
갯물이라는,1,2020,6
거멍국수를,1,2020,6
고내,2,2020,6
고내은,1,2020,6
고래한상정식,1,2020,6
고래한상차림,1,2020,6
곰막은,1,2020,6
광치기,2,2020,6
광치기해변,2,2020,6
괸당집,1,2020,6
괸당집,4,2020,6
괸당집은,2,2020,6
구글,1,2020,6
국시트멍고기국수,1,2020,6
귀여운부둥이가,1,2020,6
금오름,1,2020,6
금오름주차장으로,1,2020,6
금오름,1,2020,6
김녕오라이라고,1,2020,6
김병만,1,2020,6
김창열,1,2020,6
김포공항,1,2020,6
까망크림프라푸치노를,1,2020,6
까사델제주,2,2020,6
까스,1,2020,6
꽝꽝,1,2020,6
나는사람이다,1,2020,6
나혼자,2,2020,6
나홀로,2,2020,6
나홀로나무,1,2020,6
낯설어서좋은날,1,2020,6
노라바,7,2020,6
노라바로,1,2020,6
노라바에,1,2020,6
농띠,2,2020,6
농띠라는,1,2020,6
뉴욕,1,2020,6
다들,1,2020,6
다크투어에,1,2020,6
닭머르해안,1,2020,6
도란도란,1,2020,6
도란도란을,1,2020,6
도리뱅뱅,1,2020,6
돈카츠정식과,1,2020,6
돌카롱입니당,1,2020,6
돔베고기,2,2020,6
따닥,1,2020,6
딱새우김밥,1,2020,6
라라라,1,2020,6
랜디스도넛,1,2020,6
리치망고,1,2020,6
마라해양도립공원으로,1,2020,6
마음한줄이라는,1,2020,6
만쟁이,1,2020,6
만지식당,1,2020,6
맛집,1,2020,6
먹고정에서,1,2020,6
멸치겠죠,1,2020,6
목장카페드르쿰다,1,2020,6
몽실할머니순대,1,2020,6
무거버거는,1,2020,6
무거버거라는,1,2020,6
무거버거에서,1,2020,6
문딱예술관을,1,2020,6
믿제맛,1,2020,6
바당국수,1,2020,6
바람이분다에,1,2020,6
밖거리라고,1,2020,6
방모루,1,2020,6
뱀조심이라는,1,2020,6
베케매일,1,2020,6
보롬왓,1,2020,6
보롬왓이라고,1,2020,6
보롬왓제일,1,2020,6
봉당입니당,1,2020,6
뵤뵤카페,1,2020,6
북촌에가면,2,2020,6
불턱이다,1,2020,6
뷰스트입니다,1,2020,6
비스트로낭이라는,1,2020,6
비짓제주님,1,2020,6
빌리카,1,2020,6
빌리카를,1,2020,6
빨간머리앤,1,2020,6
빵터지는,1,2020,6
뿔난돼지흑돼지전문점에서,1,2020,6
사려니숲길입니다,1,2020,6
사시미세트로,1,2020,6
산노루,1,2020,6
산방로였다,1,2020,6
삼공주,1,2020,6
삼공주추모관과,1,2020,6
새오름이었다,1,2020,6
새천년,1,2020,6
서귀포,1,2020,6
서빈백사,1,2020,6
섭지코지,3,2020,6
