word,freq,year,month
좋은시간되세요,1,2020,11
광해군과함께하는,1,2020,11
국수만찬몇팀이,1,2020,11
그러므로rt입구에,1,2020,11
장수물식당오후시,1,2020,11
코로나,1,2020,11
숙이네,1,2020,11
어떻게,1,2020,11
가을제주여행,1,2020,11
오돈꼬치,1,2020,11
늦은,1,2020,11
오늘은,1,2020,11
우도야,1,2020,11
제이제이랑,1,2020,11
초밥,1,2020,11
유씨에게,1,2020,11
가마앤조이,1,2020,11
가지니아,1,2020,11
갈까말까,1,2020,11
갤럭시아,1,2020,11
갤럭시워치로서,1,2020,11
걸으멍,1,2020,11
걸으멍으로,1,2020,11
검멀레,1,2020,11
검멀레해변으로,1,2020,11
게우전복,1,2020,11
고독부정적인,1,2020,11
고등어회였다,1,2020,11
고래날다,1,2020,11
고스란이라는,1,2020,11
고집돌우럭을,1,2020,11
곰係語계어로서,1,2020,11
곽지해수욕장포스팅입니다,1,2020,11
관치기,1,2020,11
광치기해변,1,2020,11
광해군과,2,2020,11
괴이함으로,1,2020,11
괸당집,1,2020,11
궷물오름으로,1,2020,11
귤림서원이,1,2020,11
귤하르방,1,2020,11
그듸는,1,2020,11
그러므로prt,1,2020,11
그린마일커피,1,2020,11
금능글자가,1,2020,11
금능해수욕장,1,2020,11
금능해수욕장에서,1,2020,11
금오름,1,2020,11
금오름,1,2020,11
금오름으로,1,2020,11
금오름은,1,2020,11
금오름이에요,1,2020,11
금오름가는길,1,2020,11
길동아,2,2020,11
깍은,1,2020,11
꽃돌이를,1,2020,11
나가사카,1,2020,11
나가오카,1,2020,11
나나이로,1,2020,11
나다살다들다걷다울다로,1,2020,11
나모,1,2020,11
나성칼국수보말칼국수,1,2020,11
날아다녔다,1,2020,11
낭푼,1,2020,11
내돈내산,1,2020,11
냉삼,1,2020,11
노래를찾는사람들,1,2020,11
노리매공원,1,2020,11
노마스에요,1,2020,11
녹차홍차호지차말차,1,2020,11
논짓물이라고,1,2020,11
놀멍,1,2020,11
놀멍,1,2020,11
느린우체통이있다는,1,2020,11
니가,1,2020,11
다니쉬오래된,1,2020,11
닭머르라고,1,2020,11
더로맨틱,1,2020,11
더리트리브로,1,2020,11
덴드리,1,2020,11
덴드리로,1,2020,11
델문도,1,2020,11
델문도로,1,2020,11
도렐,1,2020,11
돈내코계곡이,1,2020,11
돈내코순두부에,1,2020,11
돌체콜드부르라떼,1,2020,11
돌카롱,1,2020,11
돌코롬,1,2020,11
돔베라는,1,2020,11
돗이,1,2020,11
동백하면,1,2020,11
동산평천,1,2020,11
두루치기였다,1,2020,11
드렌도트,1,2020,11
드르쿰다,1,2020,11
디럭스,1,2020,11
디스트릭트팀이,1,2020,11
디앤디파트먼트,1,2020,11
디앤디파트먼트가,1,2020,11
디자인입니다,1,2020,11
뚜벅이,1,2020,11
뜨르는,1,2020,11
라라보목,1,2020,11
라라스낵이,1,2020,11
라플라주에,1,2020,11
랜디스,1,2020,11
레이지커피에서,1,2020,11
레이지펌프,1,2020,11
레트버틀러,1,2020,11
롯데,1,2020,11
리치망고,1,2020,11
리치망고,1,2020,11
리치망고로,1,2020,11
마노르블랑을,1,2020,11
마노르블랑이에요,1,2020,11
마늘바케트,1,2020,11
마이버컷리스트부킹닷컴에서,1,2020,11
맛나식당을,1,2020,11
맛이예쁜사과인데,1,2020,11
맛집이,1,2020,11
맨도롱또똣,1,2020,11
먀셔블랑,1,2020,11
