,word,freq
1,<U+06A1>반찬은,1
2,가방을부탁해,1
3,가방을부탁해는,1
4,가슴뛰는,1
5,가족,1
6,감비천,2
7,같이하지,1
8,개도蓋島로,1
9,갤러리펜션,1
10,갤럭시아,1
11,검멀레,1
12,검은여가,1
13,게파트란,1
14,고깃소리,1
15,고깃소리는,1
16,고냉이는,1
17,고씨네천지국수,1
18,곽지,1
19,곽지해수욕장으로,1
20,광어우럭,1
21,광치기,1
22,광해에서,1
23,구엄리돌염전,1
24,국수앤에,1
25,귤쨈라떼,1
26,그리트에,1
27,금오름으로,1
28,기무스냅입니다,1
29,김녕,3
30,김녕빵집에서,1
31,김만복,1
32,김만복김밥,1
33,깔루아,1
34,꽃언니,1
35,낭뜰에쉼팡,1
36,낭쿰낭쿰이라는,1
37,내돈내먹,1
38,노라바를,1
39,노티드도넛,1
40,노형동,1
41,노형수퍼마켓,1
42,노형수퍼마켙,1
43,노형수퍼마켙에,1
44,니넨,1
45,니모메,1
46,다나요가,1
47,다나요가재방문한,1
48,닭머르,1
49,닭머르는,1
50,댄싱,1
51,더송,1
52,돈물은,1
53,드링콩,1
54,듬삭한에,1
55,라바,1
56,랜디스,2
57,레이싱,2
58,로캉스,1
59,롯데,1
60,롯데관광개발이,1
61,리지코티지를,1
62,마그네틱,1
63,마노르블랑,5
64,마운틴뷰라는,1
65,마음샌드를,1
66,막숙은,1
67,막숙개라고도,1
68,만덕식당시골,1
69,만쟁이거머리굴이라고도,1
70,맛나식당,1
71,맛나식당에,1
72,먼낭,1
73,멀레는,1
74,모바일탑승권,1
75,모알보알,2
76,몽상드애월에,1
77,물메마을로,1
78,미로랩핑하우스,1
79,미쁜제과,1
80,믿거나말거나,1
81,바디워시,1
82,바띠,1
83,발망,1
84,버스킹,1
85,범섬이다,1
86,베케,1
87,베케는,1
88,베케를,1
89,보일링,1
90,북촌에가면에,1
91,뷰맛집들,1
92,빛의정원에서,1
93,빽다방,1
94,산굼부리이맘때,1
95,산담으로,1
96,산방굴사라고,1
97,삼립mlip,1
98,상춘재가,1
99,샤오츠다,1
100,서빈백사라고도,1
101,선흘곶,1
102,섭지코지로로,1
103,성산일출봉입구동,1
104,소떡새,1
105,소렉,1
106,솔지식당,1
107,송당,1
108,송림반점,1
109,송악산,1
110,송악산,1
111,송악산이라는,1
112,송악산둘레길에서,1
113,숲섬이라면,1
114,스시,1
115,스시애월,1
116,스탠다드,1
117,쌍희자가,1
118,아강발,1
119,아리랑렌트를,1
120,아메리카노,1
121,아쿠아,2
122,안잡혀,1
123,애월,2
124,애월더선셋이,1
125,애월빵공장앤카페는,1
126,애월책방이다분명,1
127,액티비티를,1
128,앳이,1
129,양평해장국,1
130,얘들아,1
131,엉또는,1
132,엉또산장이,1
133,에어비앤비를,1
134,에코키친앤카페,1
135,엣인지,1
136,여니가,1
137,연돈,3
138,예써를,1
139,오빛깔좋다라는,1
140,오누라는,1
141,오는정김밥,2
142,오리프,1
143,오스카,1
144,오스카뉴월드와,1
145,오피스pece로,1
146,오형제갬성,1
147,올레수산에서,1
148,왕이메오름입구로,1
149,용두암,1
150,용두암,1
151,용천동굴,1
152,우도땅콩,1
153,우도주막,1
154,우주스테이소개해드릴게요,1
155,우주스테이추천해드릴게요,1
156,우진,2
157,원데이투어,1
158,원앤온리,3
159,원앤온리에,1
160,원앤온리카페에,1
161,월정리,1
162,웰니스한,1
163,이브이킥,1
164,이에르바라는,1
165,이호테우해수욕장으로,1
166,인스밀,1
167,자왈이라는,1
168,장인의집저는,1
169,저거,1
170,접짝뼈국도,1
171,정직한요거트,1
172,정크아트unk,1
173,제이앤클로이펜션,1
174,제이제이그랑블루,1
175,제주마음샌드라는,1
