,sentiment,word,n,date
1,neg,해가,224,2020-02-01
2,neg,해,167,2020-02-01
3,neg,못하고,111,2020-02-01
4,neg,힘든,93,2020-02-01
5,neg,아니다,71,2020-02-01
6,neg,분에,60,2020-02-01
7,neg,비싼,59,2020-02-01
8,neg,흐린,56,2020-02-01
9,neg,병,37,2020-02-01
10,neg,잘못,36,2020-02-01
11,neg,걱정,32,2020-02-01
12,neg,무서워서,31,2020-02-01
13,neg,힘들다,31,2020-02-01
14,neg,후회,29,2020-02-01
15,neg,힘들,29,2020-02-01
16,neg,힘들게,29,2020-02-01
17,neg,어려운,27,2020-02-01
18,neg,싫어하는,25,2020-02-01
19,neg,화,25,2020-02-01
20,neg,미친,24,2020-02-01
21,neg,심하게,21,2020-02-01
22,neg,아파서,20,2020-02-01
23,neg,불편한,19,2020-02-01
24,neg,슬픈,19,2020-02-01
25,neg,무서운,18,2020-02-01
26,neg,부족한,17,2020-02-01
27,neg,싫은,17,2020-02-01
28,neg,화가,17,2020-02-01
29,neg,거친,16,2020-02-01
30,neg,부담,16,2020-02-01
31,neg,스트레스,16,2020-02-01
32,neg,무섭다,15,2020-02-01
33,neg,싫어서,15,2020-02-01
34,neg,어렵게,15,2020-02-01
35,neg,못하게,13,2020-02-01
36,neg,실망,13,2020-02-01
37,neg,아픈,13,2020-02-01
38,neg,무서워,12,2020-02-01
39,neg,아프고,12,2020-02-01
40,neg,어렵다,12,2020-02-01
41,neg,나쁜,11,2020-02-01
42,neg,병을,11,2020-02-01
43,neg,불편함,11,2020-02-01
44,neg,비싸다,11,2020-02-01
45,neg,무섭고,10,2020-02-01
46,neg,비만,10,2020-02-01
47,neg,심한,10,2020-02-01
48,neg,울고,10,2020-02-01
49,neg,격하게,9,2020-02-01
50,neg,바보,9,2020-02-01
51,neg,불편하고,9,2020-02-01
52,neg,살기,9,2020-02-01
53,neg,싫다,9,2020-02-01
54,neg,어려워,9,2020-02-01
55,neg,폐렴,9,2020-02-01
56,neg,힘겹게,9,2020-02-01
57,neg,거칠게,8,2020-02-01
58,neg,불편하게,8,2020-02-01
59,neg,시끄럽고,8,2020-02-01
60,neg,어려울,8,2020-02-01
61,neg,장애인,8,2020-02-01
62,neg,짜증,8,2020-02-01
63,neg,최악의,8,2020-02-01
64,neg,불편할,7,2020-02-01
65,neg,아파,7,2020-02-01
66,neg,죄송합니다,7,2020-02-01
67,neg,환상,7,2020-02-01
68,neg,병이,6,2020-02-01
69,neg,불안한,6,2020-02-01
70,neg,소름,6,2020-02-01
71,neg,싫다고,6,2020-02-01
72,neg,심각한,6,2020-02-01
73,neg,어렵고,6,2020-02-01
74,neg,위험한,6,2020-02-01
75,neg,화를,6,2020-02-01
76,neg,거짓말,5,2020-02-01
77,neg,귀찮은,5,2020-02-01
78,neg,망할,5,2020-02-01
79,neg,무서움,5,2020-02-01
80,neg,분이나,5,2020-02-01
81,neg,불안하다,5,2020-02-01
82,neg,슬퍼,5,2020-02-01
83,neg,심각하게,5,2020-02-01
84,neg,심하다,5,2020-02-01
85,neg,쓸데없는,5,2020-02-01
86,neg,안타깝고,5,2020-02-01
87,neg,잘못된,5,2020-02-01
88,neg,최악,5,2020-02-01
89,neg,가난한,4,2020-02-01
90,neg,거부감,4,2020-02-01
91,neg,멍청이,4,2020-02-01
92,neg,몰아쳐서,4,2020-02-01
93,neg,무서워하는,4,2020-02-01
94,neg,벌,4,2020-02-01
95,neg,불만이,4,2020-02-01
96,neg,불편,4,2020-02-01
97,neg,소란스러운,4,2020-02-01
98,neg,속상,4,2020-02-01
99,neg,슬프다,4,2020-02-01
100,neg,슬픔,4,2020-02-01
101,neg,슬픔을,4,2020-02-01
102,neg,시끄럽게,4,2020-02-01
103,neg,실망한,4,2020-02-01
104,neg,싫어하고,4,2020-02-01
105,neg,쓸데없이,4,2020-02-01
106,neg,아플,4,2020-02-01
107,neg,우울한,4,2020-02-01
108,neg,원한,4,2020-02-01
109,neg,짜증이,4,2020-02-01
110,neg,노여움을,3,2020-02-01
111,neg,무서울,3,2020-02-01
112,neg,무섭기까지,3,2020-02-01
113,neg,방해하는,3,2020-02-01
114,neg,부담스러운,3,2020-02-01
115,neg,불안,3,2020-02-01
116,neg,불편하거나,3,2020-02-01
117,neg,불편하다,3,2020-02-01
118,neg,사악한,3,2020-02-01
119,neg,성난,3,2020-02-01
120,neg,쉬거나,3,2020-02-01
121,neg,쓰러질,3,2020-02-01
122,neg,아프다,3,2020-02-01
123,neg,악의,3,2020-02-01
124,neg,안타깝다,3,2020-02-01
125,neg,어려움,3,2020-02-01
126,neg,어려워서,3,2020-02-01
127,neg,위험하다,3,2020-02-01
128,neg,지나친,3,2020-02-01
129,neg,창피한,3,2020-02-01
130,neg,가짜,2,2020-02-01
131,neg,강탈,2,2020-02-01
132,neg,거짓,2,2020-02-01
133,neg,거칠고,2,2020-02-01
134,neg,격한,2,2020-02-01
135,neg,고통,2,2020-02-01
136,neg,고통을,2,2020-02-01
137,neg,고통이,2,2020-02-01
138,neg,공포,2,2020-02-01
139,neg,괴로운,2,2020-02-01
140,neg,꺼리는,2,2020-02-01
141,neg,나쁠,2,2020-02-01
142,neg,더럽게,2,2020-02-01
143,neg,독한,2,2020-02-01
144,neg,막혀,2,2020-02-01
145,neg,막히는,2,2020-02-01
