,sentiment,word,n,date
1,neg,해가,299,2021-10-01
2,neg,해,266,2021-10-01
3,neg,못하고,131,2021-10-01
4,neg,분에,99,2021-10-01
5,neg,힘든,93,2021-10-01
6,neg,비싼,75,2021-10-01
7,neg,아니다,75,2021-10-01
8,neg,걱정,53,2021-10-01
9,neg,흐린,53,2021-10-01
10,neg,어려운,52,2021-10-01
11,neg,잘못,47,2021-10-01
12,neg,병,42,2021-10-01
13,neg,싫어서,42,2021-10-01
14,neg,힘들게,42,2021-10-01
15,neg,스트레스,35,2021-10-01
16,neg,무서워서,34,2021-10-01
17,neg,슬픈,34,2021-10-01
18,neg,힘들,34,2021-10-01
19,neg,심하게,31,2021-10-01
20,neg,후회,30,2021-10-01
21,neg,무서운,29,2021-10-01
22,neg,부족한,28,2021-10-01
23,neg,화,28,2021-10-01
24,neg,힘들다,27,2021-10-01
25,neg,미친,26,2021-10-01
26,neg,싫어하는,25,2021-10-01
27,neg,불편한,23,2021-10-01
28,neg,어려울,23,2021-10-01
29,neg,못하게,22,2021-10-01
30,neg,무서워,22,2021-10-01
31,neg,부담,22,2021-10-01
32,neg,비싸다,22,2021-10-01
33,neg,싫다,22,2021-10-01
34,neg,어렵다,21,2021-10-01
35,neg,거친,20,2021-10-01
36,neg,아파서,19,2021-10-01
37,neg,비만,18,2021-10-01
38,neg,벌,17,2021-10-01
39,neg,심한,17,2021-10-01
40,neg,살기,16,2021-10-01
41,neg,싫다고,16,2021-10-01
42,neg,아픈,15,2021-10-01
43,neg,장애인,15,2021-10-01
44,neg,아프고,14,2021-10-01
45,neg,무섭다,13,2021-10-01
46,neg,속상,13,2021-10-01
47,neg,어렵게,13,2021-10-01
48,neg,화가,13,2021-10-01
49,neg,거짓말,12,2021-10-01
50,neg,불편할,12,2021-10-01
51,neg,위험한,12,2021-10-01
52,neg,멘붕,11,2021-10-01
53,neg,병을,11,2021-10-01
54,neg,분이나,11,2021-10-01
55,neg,실망,11,2021-10-01
56,neg,싫고,11,2021-10-01
57,neg,싫은,11,2021-10-01
58,neg,무섭고,10,2021-10-01
59,neg,어렵고,10,2021-10-01
60,neg,울고,10,2021-10-01
61,neg,불편,9,2021-10-01
62,neg,소름,9,2021-10-01
63,neg,심각하게,9,2021-10-01
