,sentiment,word,n,date
1,neg,해가,412,2020-10-01
2,neg,해,262,2020-10-01
3,neg,못하고,174,2020-10-01
4,neg,분에,126,2020-10-01
5,neg,힘든,120,2020-10-01
6,neg,비싼,118,2020-10-01
7,neg,아니다,93,2020-10-01
8,neg,걱정,64,2020-10-01
9,neg,병,62,2020-10-01
10,neg,힘들게,59,2020-10-01
11,neg,흐린,58,2020-10-01
12,neg,어려운,50,2020-10-01
13,neg,잘못,49,2020-10-01
14,neg,무서워서,41,2020-10-01
15,neg,미친,40,2020-10-01
16,neg,심하게,39,2020-10-01
17,neg,아파서,37,2020-10-01
18,neg,힘들,37,2020-10-01
19,neg,싫어서,36,2020-10-01
20,neg,무서운,35,2020-10-01
21,neg,살기,33,2020-10-01
22,neg,힘들다,32,2020-10-01
23,neg,스트레스,29,2020-10-01
24,neg,후회,28,2020-10-01
25,neg,슬픈,25,2020-10-01
26,neg,못하게,23,2020-10-01
27,neg,싫어하는,23,2020-10-01
28,neg,위험한,22,2020-10-01
29,neg,화,22,2020-10-01
30,neg,무서워,21,2020-10-01
31,neg,불편한,21,2020-10-01
32,neg,비싸다,21,2020-10-01
33,neg,망할,20,2020-10-01
34,neg,아프고,19,2020-10-01
35,neg,아픈,19,2020-10-01
36,neg,어려울,19,2020-10-01
37,neg,부족한,18,2020-10-01
38,neg,실망,18,2020-10-01
39,neg,어렵게,18,2020-10-01
40,neg,무섭고,17,2020-10-01
41,neg,어렵고,17,2020-10-01
42,neg,화가,17,2020-10-01
43,neg,부담,16,2020-10-01
44,neg,싫고,15,2020-10-01
45,neg,심각하게,15,2020-10-01
46,neg,심한,14,2020-10-01
47,neg,장애인,14,2020-10-01
48,neg,짜증,14,2020-10-01
49,neg,바보,13,2020-10-01
50,neg,불편,13,2020-10-01
51,neg,싫다고,13,2020-10-01
52,neg,싫은,13,2020-10-01
53,neg,아파,13,2020-10-01
54,neg,어려워,13,2020-10-01
55,neg,어려워서,13,2020-10-01
56,neg,울고,13,2020-10-01
57,neg,죄송합니다,12,2020-10-01
58,neg,환상,12,2020-10-01
59,neg,거짓말,11,2020-10-01
60,neg,무서울,11,2020-10-01
61,neg,무섭다,11,2020-10-01
62,neg,분이나,11,2020-10-01
63,neg,불편함,11,2020-10-01
64,neg,비만,11,2020-10-01
65,neg,어렵다,11,2020-10-01
66,neg,힘겹게,11,2020-10-01
