,sentiment,word,n,date
1,neg,해가,397,2020-12-01
2,neg,해,252,2020-12-01
3,neg,못하고,141,2020-12-01
4,neg,힘든,102,2020-12-01
5,neg,분에,81,2020-12-01
6,neg,비싼,74,2020-12-01
7,neg,아니다,73,2020-12-01
8,neg,무서워서,65,2020-12-01
9,neg,걱정,62,2020-12-01
10,neg,흐린,56,2020-12-01
11,neg,어려운,55,2020-12-01
12,neg,병,48,2020-12-01
13,neg,잘못,45,2020-12-01
14,neg,힘들,43,2020-12-01
15,neg,힘들다,41,2020-12-01
16,neg,힘들게,39,2020-12-01
17,neg,불편한,36,2020-12-01
18,neg,싫어하는,35,2020-12-01
19,neg,못하게,33,2020-12-01
20,neg,미친,30,2020-12-01
21,neg,심하게,30,2020-12-01
22,neg,아파서,28,2020-12-01
23,neg,화,28,2020-12-01
24,neg,어렵게,27,2020-12-01
25,neg,부담,26,2020-12-01
26,neg,살기,26,2020-12-01
27,neg,스트레스,26,2020-12-01
28,neg,무서운,25,2020-12-01
29,neg,무서워,25,2020-12-01
30,neg,부족한,24,2020-12-01
31,neg,슬픈,24,2020-12-01
32,neg,어려울,23,2020-12-01
33,neg,싫어서,22,2020-12-01
34,neg,후회,20,2020-12-01
35,neg,거짓말,19,2020-12-01
36,neg,불편함,19,2020-12-01
37,neg,장애인,17,2020-12-01
38,neg,심한,16,2020-12-01
39,neg,실망,15,2020-12-01
40,neg,울고,15,2020-12-01
41,neg,나쁜,14,2020-12-01
42,neg,무섭고,14,2020-12-01
43,neg,싫다고,14,2020-12-01
44,neg,화가,14,2020-12-01
45,neg,망할,13,2020-12-01
46,neg,어렵다,13,2020-12-01
47,neg,위험한,13,2020-12-01
48,neg,죄송합니다,13,2020-12-01
49,neg,막혀,12,2020-12-01
50,neg,불편,12,2020-12-01
51,neg,어렵고,12,2020-12-01
52,neg,짜증,12,2020-12-01
53,neg,거친,11,2020-12-01
54,neg,병이,11,2020-12-01
55,neg,분이나,11,2020-12-01
56,neg,비싸다,11,2020-12-01
57,neg,아프고,11,2020-12-01
58,neg,어려워서,11,2020-12-01
59,neg,환상,11,2020-12-01
60,neg,속상,10,2020-12-01
61,neg,싫다,10,2020-12-01
62,neg,쓸쓸한,10,2020-12-01
63,neg,우울한,10,2020-12-01
64,neg,위험이,10,2020-12-01
65,neg,힘겹게,10,2020-12-01
66,neg,무서워하는,9,2020-12-01
67,neg,무섭다,9,2020-12-01
68,neg,바보,9,2020-12-01
69,neg,병을,9,2020-12-01
70,neg,싫고,9,2020-12-01
71,neg,아픈,9,2020-12-01
72,neg,어려워,9,2020-12-01
73,neg,노예,8,2020-12-01
74,neg,부담스러운,8,2020-12-01
75,neg,불안한,8,2020-12-01
76,neg,더럽게,7,2020-12-01
77,neg,시끄럽고,7,2020-12-01
78,neg,잘못된,7,2020-12-01
79,neg,최악의,7,2020-12-01
80,neg,귀찮은,6,2020-12-01
81,neg,당황한,6,2020-12-01
82,neg,무서울,6,2020-12-01
83,neg,불편할,6,2020-12-01
84,neg,사악한,6,2020-12-01
85,neg,시끄럽게,6,2020-12-01
86,neg,실망한,6,2020-12-01
87,neg,싫은,6,2020-12-01
88,neg,심각한,6,2020-12-01
89,neg,심하다,6,2020-12-01
90,neg,아픔을,6,2020-12-01
91,neg,격하게,5,2020-12-01
92,neg,고통,5,2020-12-01
93,neg,더러운,5,2020-12-01
94,neg,마이너스,5,2020-12-01
95,neg,멘붕,5,2020-12-01
96,neg,무서움,5,2020-12-01
97,neg,불편하고,5,2020-12-01
98,neg,비만,5,2020-12-01
99,neg,슬퍼,5,2020-12-01
100,neg,슬프다,5,2020-12-01
101,neg,슬픔,5,2020-12-01
102,neg,싫어하고,5,2020-12-01
103,neg,심각하게,5,2020-12-01
104,neg,쓸데없는,5,2020-12-01
105,neg,짜증이,5,2020-12-01
106,neg,가짜,4,2020-12-01
107,neg,고통을,4,2020-12-01
108,neg,번거롭게,4,2020-12-01
109,neg,벌,4,2020-12-01
110,neg,쓰러져,4,2020-12-01
111,neg,아파,4,2020-12-01
112,neg,악의적인,4,2020-12-01
113,neg,원한,4,2020-12-01
114,neg,이기적인,4,2020-12-01
115,neg,잘못이,4,2020-12-01
116,neg,장애,4,2020-12-01
117,neg,지겹도록,4,2020-12-01
118,neg,지저분한,4,2020-12-01
119,neg,하찮은,4,2020-12-01
120,neg,겁쟁이,3,2020-12-01
121,neg,공포,3,2020-12-01
122,neg,나쁜놈,3,2020-12-01
123,neg,두렵고,3,2020-12-01
124,neg,모진,3,2020-12-01
125,neg,못난이,3,2020-12-01
126,neg,무분별한,3,2020-12-01
127,neg,방해가,3,2020-12-01
128,neg,불만,3,2020-12-01
129,neg,불편하게,3,2020-12-01
130,neg,상처,3,2020-12-01
131,neg,상해서,3,2020-12-01
132,neg,서운한,3,2020-12-01
133,neg,소름,3,2020-12-01
134,neg,쉰,3,2020-12-01
135,neg,실패로,3,2020-12-01
136,neg,쓰며,3,2020-12-01
137,neg,쓸데없이,3,2020-12-01
138,neg,아플,3,2020-12-01
139,neg,어려움,3,2020-12-01
140,neg,억울한,3,2020-12-01
141,neg,원망스럽다,3,2020-12-01
142,neg,재난,3,2020-12-01
