,sentiment,word,n,date
1,neg,해가,395,2020-08-01
2,neg,해,290,2020-08-01
3,neg,못하고,178,2020-08-01
4,neg,비싼,129,2020-08-01
5,neg,힘든,101,2020-08-01
6,neg,분에,100,2020-08-01
7,neg,걱정,90,2020-08-01
8,neg,아니다,83,2020-08-01
9,neg,흐린,83,2020-08-01
10,neg,무서워서,60,2020-08-01
11,neg,싫어하는,59,2020-08-01
12,neg,어려운,53,2020-08-01
13,neg,힘들게,53,2020-08-01
14,neg,심하게,52,2020-08-01
15,neg,미친,50,2020-08-01
16,neg,잘못,49,2020-08-01
17,neg,병,43,2020-08-01
18,neg,힘들,41,2020-08-01
19,neg,후회,39,2020-08-01
20,neg,부족한,38,2020-08-01
21,neg,싫어서,38,2020-08-01
22,neg,무서운,34,2020-08-01
23,neg,무서워,34,2020-08-01
24,neg,힘들다,34,2020-08-01
25,neg,화,31,2020-08-01
26,neg,슬픈,30,2020-08-01
27,neg,못하게,29,2020-08-01
28,neg,화가,29,2020-08-01
29,neg,불편한,28,2020-08-01
30,neg,비만,26,2020-08-01
31,neg,어렵게,26,2020-08-01
32,neg,살기,24,2020-08-01
33,neg,아파서,24,2020-08-01
34,neg,싫다고,23,2020-08-01
35,neg,싫은,23,2020-08-01
36,neg,심각하게,23,2020-08-01
37,neg,스트레스,22,2020-08-01
38,neg,심한,21,2020-08-01
39,neg,아픈,21,2020-08-01
40,neg,비싸다,19,2020-08-01
41,neg,거짓말,17,2020-08-01
42,neg,망할,16,2020-08-01
43,neg,불안한,16,2020-08-01
44,neg,불편함,16,2020-08-01
45,neg,어려울,16,2020-08-01
46,neg,어렵다,16,2020-08-01
47,neg,부담스러운,15,2020-08-01
48,neg,실망,15,2020-08-01
49,neg,심각한,15,2020-08-01
50,neg,장애인,15,2020-08-01
51,neg,슬픔,14,2020-08-01
52,neg,아프고,14,2020-08-01
53,neg,어려워,14,2020-08-01
54,neg,울고,14,2020-08-01
55,neg,짜증,14,2020-08-01
56,neg,환상,14,2020-08-01
57,neg,거친,13,2020-08-01
58,neg,병이,13,2020-08-01
59,neg,부담,13,2020-08-01
60,neg,싫다,13,2020-08-01
61,neg,위험한,13,2020-08-01
62,neg,짜증이,13,2020-08-01
63,neg,나쁜,12,2020-08-01
64,neg,무서워하는,12,2020-08-01
65,neg,병을,12,2020-08-01
66,neg,분이나,12,2020-08-01
67,neg,싫고,12,2020-08-01
68,neg,잘못된,12,2020-08-01
69,neg,벌,11,2020-08-01
70,neg,사악한,11,2020-08-01
71,neg,최악의,11,2020-08-01
72,neg,무섭다,10,2020-08-01
73,neg,우울한,10,2020-08-01
74,neg,최악,10,2020-08-01
75,neg,귀찮은,9,2020-08-01
76,neg,불편하고,9,2020-08-01
77,neg,불편할,9,2020-08-01
78,neg,시끄럽고,9,2020-08-01
79,neg,어렵고,9,2020-08-01
80,neg,더럽게,8,2020-08-01
81,neg,방해가,8,2020-08-01
82,neg,번거로운,8,2020-08-01
83,neg,불만,8,2020-08-01
84,neg,아플,8,2020-08-01
85,neg,어려워서,8,2020-08-01
86,neg,격하게,7,2020-08-01
87,neg,시끄럽다,7,2020-08-01
88,neg,아파,7,2020-08-01
89,neg,죄송합니다,7,2020-08-01
90,neg,무섭고,6,2020-08-01
91,neg,부정적인,6,2020-08-01
92,neg,불편하게,6,2020-08-01
93,neg,소름,6,2020-08-01
94,neg,시끄럽게,6,2020-08-01
95,neg,싫어하고,6,2020-08-01
96,neg,아픔을,6,2020-08-01
97,neg,지저분한,6,2020-08-01
98,neg,짜증을,6,2020-08-01
99,neg,힘겹게,6,2020-08-01
100,neg,곰팡이,5,2020-08-01
101,neg,나쁘거나,5,2020-08-01
102,neg,당황한,5,2020-08-01
103,neg,멘붕,5,2020-08-01
104,neg,무서움,5,2020-08-01
105,neg,미련이,5,2020-08-01
106,neg,바보,5,2020-08-01
107,neg,불만이,5,2020-08-01
108,neg,불법,5,2020-08-01
109,neg,불쌍한,5,2020-08-01
110,neg,불편하다,5,2020-08-01
111,neg,비추천,5,2020-08-01
112,neg,슬프다,5,2020-08-01
113,neg,시들시들,5,2020-08-01
114,neg,쓸데없는,5,2020-08-01
115,neg,쓸데없이,5,2020-08-01
116,neg,아프다,5,2020-08-01
117,neg,아픔,5,2020-08-01
118,neg,안타깝다,5,2020-08-01
119,neg,위험이,5,2020-08-01
120,neg,죄가,5,2020-08-01
121,neg,지겹도록,5,2020-08-01
122,neg,지나친,5,2020-08-01
123,neg,지옥,5,2020-08-01
124,neg,가난한,4,2020-08-01
125,neg,기절할,4,2020-08-01
126,neg,낭패,4,2020-08-01
127,neg,더러운,4,2020-08-01
128,neg,두려움,4,2020-08-01
129,neg,못하다,4,2020-08-01
130,neg,번거롭게,4,2020-08-01
131,neg,병으로,4,2020-08-01
132,neg,분노,4,2020-08-01
133,neg,불안하게,4,2020-08-01
134,neg,상하고,4,2020-08-01
135,neg,서러운,4,2020-08-01
136,neg,성난,4,2020-08-01
137,neg,속상,4,2020-08-01
138,neg,쉰,4,2020-08-01
139,neg,슬퍼,4,2020-08-01
140,neg,쓰러져,4,2020-08-01
141,neg,앓고,4,2020-08-01
142,neg,억울한,4,2020-08-01
143,neg,욕,4,2020-08-01
144,neg,원한,4,2020-08-01
145,neg,위협을,4,2020-08-01
146,neg,화를,4,2020-08-01
147,neg,거부감,3,2020-08-01
148,neg,거칠고,3,2020-08-01
149,neg,공포증,3,2020-08-01
150,neg,극혐,3,2020-08-01
151,neg,끔찍한,3,2020-08-01
152,neg,나쁘게,3,2020-08-01
153,neg,두려운,3,2020-08-01
154,neg,두려워,3,2020-08-01
155,neg,막혀,3,2020-08-01
156,neg,멍청이,3,2020-08-01
157,neg,몰아쳐서,3,2020-08-01
158,neg,못난이,3,2020-08-01
159,neg,무서울,3,2020-08-01
160,neg,무서움을,3,2020-08-01
161,neg,미움을,3,2020-08-01
162,neg,분하고,3,2020-08-01
163,neg,불만을,3,2020-08-01
164,neg,불쌍하게,3,2020-08-01
165,neg,불안,3,2020-08-01
166,neg,불편,3,2020-08-01
167,neg,소름이,3,2020-08-01
168,neg,슬프고,3,2020-08-01
169,neg,시무룩,3,2020-08-01
170,neg,심하다,3,2020-08-01
171,neg,쓰며,3,2020-08-01
172,neg,쓸쓸한,3,2020-08-01
173,neg,아프게,3,2020-08-01
174,neg,안타깝고,3,2020-08-01
175,neg,어리석은,3,2020-08-01
176,neg,욕을,3,2020-08-01
177,neg,우울,3,2020-08-01
178,neg,잘못이,3,2020-08-01
179,neg,죽음의,3,2020-08-01
180,neg,지저분하게,3,2020-08-01
181,neg,편견,3,2020-08-01
182,neg,힘들거나,3,2020-08-01
183,neg,가짜,2,2020-08-01
184,neg,고되다,2,2020-08-01
185,neg,괴로워,2,2020-08-01
186,neg,괴롭다,2,2020-08-01
187,neg,기절하듯이,2,2020-08-01
188,neg,나쁘고,2,2020-08-01
189,neg,노예,2,2020-08-01
190,neg,더러움,2,2020-08-01
191,neg,두렵다,2,2020-08-01
192,neg,망연자실,2,2020-08-01
193,neg,못난,2,2020-08-01
194,neg,못된,2,2020-08-01
195,neg,못생김,2,2020-08-01
196,neg,못하겠다고,2,2020-08-01
197,neg,무너지는,2,2020-08-01
198,neg,무섭거나,2,2020-08-01
199,neg,미치겠다,2,2020-08-01
200,neg,밉다,2,2020-08-01
201,neg,방해하는,2,2020-08-01
202,neg,범죄,2,2020-08-01
203,neg,분한,2,2020-08-01
204,neg,불쌍하다,2,2020-08-01
205,neg,불쾌한,2,2020-08-01
206,neg,삐죽삐죽,2,2020-08-01
207,neg,사악하다,2,2020-08-01
208,neg,상처,2,2020-08-01
209,neg,상처를,2,2020-08-01
210,neg,상하게,2,2020-08-01
211,neg,소홀히,2,2020-08-01
212,neg,손해,2,2020-08-01
213,neg,슬플,2,2020-08-01
214,neg,시끄럽거나,2,2020-08-01
215,neg,시든,2,2020-08-01
216,neg,시들한,2,2020-08-01
217,neg,실망한,2,2020-08-01
218,neg,실패로,2,2020-08-01
219,neg,싫을,2,2020-08-01
220,neg,심장마비,2,2020-08-01
221,neg,심하면,2,2020-08-01
222,neg,쓸쓸하게,2,2020-08-01
223,neg,쓸쓸히,2,2020-08-01
224,neg,아파하는,2,2020-08-01
225,neg,악독한,2,2020-08-01
226,neg,악한,2,2020-08-01
227,neg,어려움,2,2020-08-01
228,neg,옘병할,2,2020-08-01
229,neg,왕따,2,2020-08-01
230,neg,원망스럽고,2,2020-08-01
231,neg,위험하다,2,2020-08-01
232,neg,잔인한,2,2020-08-01
233,neg,좌절,2,2020-08-01
234,neg,죄,2,2020-08-01
235,neg,질색,2,2020-08-01
236,neg,짠하다,2,2020-08-01
237,neg,취약한,2,2020-08-01
238,neg,타격을,2,2020-08-01
239,neg,터무니없이,2,2020-08-01
240,neg,피눈물,2,2020-08-01
241,neg,핀잔을,2,2020-08-01
242,neg,화나고,2,2020-08-01
243,neg,환상이다,2,2020-08-01
244,neg,흉한,2,2020-08-01
245,neg,가난,1,2020-08-01
246,neg,겁쟁이,1,2020-08-01
247,neg,격한,1,2020-08-01
248,neg,고통,1,2020-08-01
249,neg,고통을,1,2020-08-01
250,neg,고통이,1,2020-08-01
251,neg,고통이라는,1,2020-08-01
252,neg,공포,1,2020-08-01
253,neg,공포감,1,2020-08-01
254,neg,괴로운,1,2020-08-01
255,neg,괴로울,1,2020-08-01
256,neg,괴롭히다,1,2020-08-01
257,neg,괴상한,1,2020-08-01
258,neg,굴욕,1,2020-08-01
259,neg,굴욕을,1,2020-08-01
260,neg,나쁠,1,2020-08-01
261,neg,낙심,1,2020-08-01
262,neg,납치,1,2020-08-01
263,neg,너무하다,1,2020-08-01
264,neg,노답,1,2020-08-01
265,neg,느끼하다,1,2020-08-01
266,neg,다침,1,2020-08-01
267,neg,다투는,1,2020-08-01
268,neg,더러워,1,2020-08-01
269,neg,더러워져서,1,2020-08-01
270,neg,더러워진,1,2020-08-01
271,neg,독이,1,2020-08-01
272,neg,독한,1,2020-08-01
273,neg,두려움을,1,2020-08-01
274,neg,두려워서,1,2020-08-01
275,neg,두렵고,1,2020-08-01
276,neg,막히는,1,2020-08-01
277,neg,막히다,1,2020-08-01
278,neg,매몰차게,1,2020-08-01
279,neg,멍청한,1,2020-08-01
280,neg,메스껍고,1,2020-08-01
281,neg,몹쓸,1,2020-08-01
282,neg,못마땅한,1,2020-08-01
283,neg,무기력한,1,2020-08-01
284,neg,무너짐,1,2020-08-01
285,neg,무더위로,1,2020-08-01
286,neg,무질서한,1,2020-08-01
287,neg,미워하고,1,2020-08-01
288,neg,박할,1,2020-08-01
289,neg,방해함,1,2020-08-01
290,neg,버린다는,1,2020-08-01
291,neg,번거롭다,1,2020-08-01
292,neg,볼품없이,1,2020-08-01
293,neg,봉변,1,2020-08-01
294,neg,부작용이,1,2020-08-01
295,neg,분하다,1,2020-08-01
296,neg,불길한,1,2020-08-01
297,neg,불량,1,2020-08-01
298,neg,불만족스러운,1,2020-08-01
299,neg,불안정한,1,2020-08-01
300,neg,불안하다,1,2020-08-01
301,neg,불평,1,2020-08-01
302,neg,비현실,1,2020-08-01
303,neg,빌어먹을,1,2020-08-01
304,neg,빡세네,1,2020-08-01
305,neg,뻔뻔스럽게,1,2020-08-01
306,neg,상함,1,2020-08-01
307,neg,상해서,1,2020-08-01
308,neg,서러움,1,2020-08-01
309,neg,서럽게,1,2020-08-01
310,neg,서럽다,1,2020-08-01
311,neg,설움,1,2020-08-01
312,neg,소란이,1,2020-08-01
313,neg,소름끼치는,1,2020-08-01
314,neg,소스라치게,1,2020-08-01
315,neg,소외감,1,2020-08-01
316,neg,속상하다,1,2020-08-01
317,neg,속이고,1,2020-08-01
318,neg,손해를,1,2020-08-01
319,neg,쉬거나,1,2020-08-01
320,neg,슬픔을,1,2020-08-01
321,neg,시비,1,2020-08-01
322,neg,시비가,1,2020-08-01
323,neg,시시하다,1,2020-08-01
324,neg,실망감,1,2020-08-01
325,neg,실속없이,1,2020-08-01
326,neg,실없는,1,2020-08-01
327,neg,싫거나,1,2020-08-01
328,neg,싫게,1,2020-08-01
329,neg,싫어해,1,2020-08-01
330,neg,싫증이,1,2020-08-01
331,neg,심술,1,2020-08-01
332,neg,심술쟁이,1,2020-08-01
333,neg,심하거나,1,2020-08-01
334,neg,쓰라리다,1,2020-08-01
335,neg,쓰러지거나,1,2020-08-01
336,neg,쓰러질,1,2020-08-01
337,neg,쓸쓸하고,1,2020-08-01
338,neg,악마,1,2020-08-01
339,neg,악의적인,1,2020-08-01
340,neg,안타까워,1,2020-08-01
341,neg,안타까워서,1,2020-08-01
342,neg,안타까워하는,1,2020-08-01
343,neg,안타깝게,1,2020-08-01
344,neg,애절한,1,2020-08-01
345,neg,야속,1,2020-08-01
346,neg,어려움에,1,2020-08-01
347,neg,억울하게,1,2020-08-01
348,neg,언짢은,1,2020-08-01
349,neg,역정,1,2020-08-01
350,neg,역한,1,2020-08-01
351,neg,염증,1,2020-08-01
352,neg,욕하며,1,2020-08-01
353,neg,우울증,1,2020-08-01
354,neg,우중충하다,1,2020-08-01
355,neg,울다,1,2020-08-01
356,neg,울음,1,2020-08-01
357,neg,울음소리,1,2020-08-01
358,neg,위협하거나,1,2020-08-01
359,neg,음흉한,1,2020-08-01
360,neg,인색한,1,2020-08-01
361,neg,자괴감,1,2020-08-01
362,neg,잔인하다,1,2020-08-01
363,neg,잘못되는,1,2020-08-01
364,neg,잘못되어,1,2020-08-01
365,neg,장애,1,2020-08-01
366,neg,절망,1,2020-08-01
367,neg,제한적,1,2020-08-01
368,neg,졸도,1,2020-08-01
369,neg,죄를,1,2020-08-01
370,neg,죄인의,1,2020-08-01
371,neg,죄지은,1,2020-08-01
372,neg,죽임,1,2020-08-01
373,neg,중상,1,2020-08-01
374,neg,증오,1,2020-08-01
375,neg,지겹다,1,2020-08-01
376,neg,질병,1,2020-08-01
377,neg,짓궂은,1,2020-08-01
378,neg,찌질이,1,2020-08-01
379,neg,참혹한,1,2020-08-01
380,neg,창피하다,1,2020-08-01
381,neg,창피한,1,2020-08-01
382,neg,처참하게,1,2020-08-01
383,neg,처참하다,1,2020-08-01
384,neg,터무니없는,1,2020-08-01
385,neg,퉁명스러운,1,2020-08-01
386,neg,한스럽다,1,2020-08-01
387,neg,해로운,1,2020-08-01
388,neg,허접하다,1,2020-08-01
389,neg,헛된,1,2020-08-01
390,neg,혐오,1,2020-08-01
391,neg,협박,1,2020-08-01
392,neg,협박과,1,2020-08-01
393,neg,혼내는,1,2020-08-01
394,neg,혼란스러운,1,2020-08-01
395,neg,화나,1,2020-08-01
396,neg,흉물,1,2020-08-01
397,neu,,36217,2020-08-01
398,neu,너무,7577,2020-08-01
399,neu,수,6350,2020-08-01
400,neu,제주,5756,2020-08-01
401,neu,있는,4927,2020-08-01
402,neu,더,4012,2020-08-01
403,neu,다,3899,2020-08-01
404,neu,진짜,3699,2020-08-01
405,neu,정말,3648,2020-08-01
406,neu,ㅎㅎ,3581,2020-08-01
407,neu,것,3379,2020-08-01
408,neu,제주도,3333,2020-08-01
409,neu,많이,3330,2020-08-01
410,neu,잘,3280,2020-08-01
411,neu,이,3277,2020-08-01
412,neu,바로,3124,2020-08-01
413,neu,그리고,2959,2020-08-01
414,neu,한,2857,2020-08-01
415,neu,또,2758,2020-08-01
416,neu,이렇게,2677,2020-08-01
417,neu,ㅠㅠ,2636,2020-08-01
418,neu,하고,2375,2020-08-01
419,neu,그냥,2341,2020-08-01
420,neu,사진,2301,2020-08-01
421,neu,제주여행,2211,2020-08-01
422,neu,있어서,2194,2020-08-01
423,neu,그,2158,2020-08-01
424,neu,ㅋㅋㅋ,2138,2020-08-01
425,neu,좀,2108,2020-08-01
426,neu,여행,2077,2020-08-01
427,neu,먹고,2071,2020-08-01
428,neu,꼭,2063,2020-08-01
429,neu,ㅋㅋ,2054,2020-08-01
430,neu,다시,2029,2020-08-01
431,neu,카페,1760,2020-08-01
432,neu,그래도,1704,2020-08-01
433,neu,있다,1687,2020-08-01
434,neu,엄청,1657,2020-08-01
435,neu,때,1542,2020-08-01
436,neu,그래서,1534,2020-08-01
437,neu,원,1512,2020-08-01
438,neu,일,1511,2020-08-01
439,neu,내가,1468,2020-08-01
440,neu,시,1468,2020-08-01
441,neu,분,1447,2020-08-01
442,neu,함께,1445,2020-08-01
443,neu,우리,1439,2020-08-01
444,neu,ㅎ,1423,2020-08-01
445,neu,근데,1416,2020-08-01
446,neu,아주,1414,2020-08-01
447,neu,곳,1396,2020-08-01
448,neu,ㅋㅋㅋㅋ,1392,2020-08-01
449,neu,조금,1371,2020-08-01
450,neu,비가,1364,2020-08-01
451,neu,다른,1355,2020-08-01
452,neu,나는,1348,2020-08-01
453,neu,안,1347,2020-08-01
454,neu,시간,1312,2020-08-01
455,neu,있고,1301,2020-08-01
456,neu,ㅠ,1282,2020-08-01
457,neu,가는,1264,2020-08-01
458,neu,저,1241,2020-08-01
459,neu,숙소,1239,2020-08-01
460,neu,사실,1235,2020-08-01
461,neu,우리는,1203,2020-08-01
462,neu,해서,1200,2020-08-01
463,neu,때문에,1189,2020-08-01
464,neu,있어요,1185,2020-08-01
465,neu,여기,1183,2020-08-01
466,neu,했는데,1179,2020-08-01
467,neu,저는,1174,2020-08-01
468,neu,박,1172,2020-08-01
469,neu,내,1168,2020-08-01
470,neu,넘,1158,2020-08-01
471,neu,했다,1155,2020-08-01
472,neu,같이,1147,2020-08-01
473,neu,같은,1137,2020-08-01
474,neu,보이는,1131,2020-08-01
475,neu,있었다,1130,2020-08-01
476,neu,하는,1126,2020-08-01
477,neu,보고,1117,2020-08-01
478,neu,할,1113,2020-08-01
479,neu,날,1106,2020-08-01
480,neu,이런,1096,2020-08-01
481,neu,같아요,1089,2020-08-01
482,neu,ㅎㅎㅎ,1079,2020-08-01
483,neu,중,1057,2020-08-01
484,neu,사진을,1052,2020-08-01
485,neu,같다,1039,2020-08-01
486,neu,딱,1021,2020-08-01
487,neu,있는데,1016,2020-08-01
488,neu,하지만,1014,2020-08-01
489,neu,참,1001,2020-08-01
490,neu,월,959,2020-08-01
491,neu,가서,957,2020-08-01
492,neu,역시,953,2020-08-01
493,neu,많은,946,2020-08-01
494,neu,타고,938,2020-08-01
495,neu,날씨가,930,2020-08-01
496,neu,바다,930,2020-08-01
497,neu,생각보다,923,2020-08-01
498,neu,거,921,2020-08-01
499,neu,제가,917,2020-08-01
500,neu,사람이,916,2020-08-01
501,neu,정도,914,2020-08-01
502,neu,ㅋㅋㅋㅋㅋ,914,2020-08-01
503,neu,우리가,909,2020-08-01
504,neu,이번,906,2020-08-01
505,neu,사람들이,900,2020-08-01
506,neu,ㅋ,899,2020-08-01
507,neu,이제,895,2020-08-01
508,neu,시간이,894,2020-08-01
509,neu,볼,889,2020-08-01
510,neu,하나,880,2020-08-01
511,neu,보니,866,2020-08-01
512,neu,한다,865,2020-08-01
513,neu,먹을,864,2020-08-01
514,neu,전,863,2020-08-01
515,neu,후,863,2020-08-01
516,neu,없는,855,2020-08-01
517,neu,찍고,847,2020-08-01
518,neu,완전,845,2020-08-01
519,neu,계속,843,2020-08-01
520,neu,좋았다,842,2020-08-01
521,neu,가장,841,2020-08-01
