,sentiment,word,n,date
1,neg,해,279,2021-05-01
2,neg,해가,247,2021-05-01
3,neg,못하고,169,2021-05-01
4,neg,힘든,122,2021-05-01
5,neg,분에,110,2021-05-01
6,neg,비싼,97,2021-05-01
7,neg,아니다,87,2021-05-01
8,neg,걱정,80,2021-05-01
9,neg,병,65,2021-05-01
10,neg,흐린,62,2021-05-01
11,neg,어려운,60,2021-05-01
12,neg,무서워서,55,2021-05-01
13,neg,미친,53,2021-05-01
14,neg,화,50,2021-05-01
15,neg,힘들,50,2021-05-01
16,neg,잘못,47,2021-05-01
17,neg,싫어하는,45,2021-05-01
18,neg,후회,43,2021-05-01
19,neg,힘들게,42,2021-05-01
20,neg,싫어서,35,2021-05-01
21,neg,심하게,35,2021-05-01
22,neg,슬픈,31,2021-05-01
23,neg,힘들다,30,2021-05-01
24,neg,무서운,28,2021-05-01
25,neg,아파서,28,2021-05-01
26,neg,무서워,27,2021-05-01
27,neg,스트레스,27,2021-05-01
28,neg,비싸다,25,2021-05-01
29,neg,불편한,23,2021-05-01
30,neg,화가,22,2021-05-01
31,neg,무섭다,21,2021-05-01
32,neg,아픈,21,2021-05-01
33,neg,부족한,20,2021-05-01
34,neg,실망,20,2021-05-01
35,neg,어렵다,19,2021-05-01
36,neg,무섭고,18,2021-05-01
37,neg,병을,18,2021-05-01
38,neg,벌,17,2021-05-01
39,neg,속상,17,2021-05-01
40,neg,심각하게,17,2021-05-01
41,neg,어려워서,17,2021-05-01
42,neg,최악의,17,2021-05-01
43,neg,살기,16,2021-05-01
44,neg,죄송합니다,16,2021-05-01
45,neg,거짓말,15,2021-05-01
46,neg,병이,15,2021-05-01
47,neg,심한,15,2021-05-01
48,neg,어렵게,15,2021-05-01
49,neg,부담,14,2021-05-01
50,neg,분이나,14,2021-05-01
51,neg,싫은,14,2021-05-01
52,neg,어려워,14,2021-05-01
53,neg,힘겹게,14,2021-05-01
54,neg,멘붕,13,2021-05-01
55,neg,못하게,13,2021-05-01
56,neg,불편함,13,2021-05-01
57,neg,아프다,13,2021-05-01
58,neg,어려울,13,2021-05-01
59,neg,울고,13,2021-05-01
60,neg,짜증,13,2021-05-01
61,neg,망할,12,2021-05-01
62,neg,무서워하는,12,2021-05-01
63,neg,바보,12,2021-05-01
64,neg,환상,12,2021-05-01
65,neg,귀찮은,11,2021-05-01
66,neg,불편하고,11,2021-05-01
67,neg,불편할,11,2021-05-01
68,neg,시끄럽게,11,2021-05-01
69,neg,시끄럽고,11,2021-05-01
70,neg,쓸데없이,11,2021-05-01
71,neg,아플,11,2021-05-01
72,neg,어려움,11,2021-05-01
73,neg,거친,10,2021-05-01
74,neg,사악한,10,2021-05-01
75,neg,아프고,10,2021-05-01
76,neg,장애인,10,2021-05-01
77,neg,무서움,9,2021-05-01
78,neg,부담스러운,9,2021-05-01
79,neg,불안한,9,2021-05-01
80,neg,싫다,9,2021-05-01
81,neg,싫다고,9,2021-05-01
82,neg,쉰,8,2021-05-01
83,neg,슬프다,8,2021-05-01
84,neg,실망한,8,2021-05-01
85,neg,아파,8,2021-05-01
86,neg,위험한,8,2021-05-01
87,neg,잘못된,8,2021-05-01
88,neg,나쁜,7,2021-05-01
89,neg,막히는,7,2021-05-01
90,neg,불편,7,2021-05-01
91,neg,비만,7,2021-05-01
92,neg,욕,7,2021-05-01
93,neg,짜증이,7,2021-05-01
94,neg,최악,7,2021-05-01
95,neg,거칠게,6,2021-05-01
96,neg,기절할,6,2021-05-01
97,neg,막혀,6,2021-05-01
98,neg,못하다,6,2021-05-01
99,neg,미련이,6,2021-05-01
100,neg,번거로운,6,2021-05-01
101,neg,불편하게,6,2021-05-01
102,neg,상처를,6,2021-05-01
103,neg,싫고,6,2021-05-01
104,neg,싫어하고,6,2021-05-01
105,neg,어렵고,6,2021-05-01
106,neg,우울,6,2021-05-01
107,neg,거부감,5,2021-05-01
108,neg,격하게,5,2021-05-01
109,neg,당황한,5,2021-05-01
110,neg,몰아쳐서,5,2021-05-01
111,neg,못난이,5,2021-05-01
112,neg,무서울,5,2021-05-01
113,neg,불편하다,5,2021-05-01
114,neg,소름,5,2021-05-01
115,neg,슬퍼,5,2021-05-01
116,neg,쓰며,5,2021-05-01
117,neg,안타깝게,5,2021-05-01
118,neg,우울한,5,2021-05-01
119,neg,재난,5,2021-05-01
120,neg,짜증을,5,2021-05-01
121,neg,화를,5,2021-05-01
122,neg,가짜,4,2021-05-01
123,neg,고통을,4,2021-05-01
124,neg,극혐,4,2021-05-01
125,neg,더러운,4,2021-05-01
126,neg,멍청한,4,2021-05-01
127,neg,무서움을,4,2021-05-01
128,neg,방해가,4,2021-05-01
129,neg,불만이,4,2021-05-01
130,neg,불쌍한,4,2021-05-01
131,neg,불편하거나,4,2021-05-01
132,neg,비추천,4,2021-05-01
133,neg,사악하다,4,2021-05-01
134,neg,상해서,4,2021-05-01
135,neg,손해를,4,2021-05-01
136,neg,쉬거나,4,2021-05-01
137,neg,실패로,4,2021-05-01
138,neg,쓰러져,4,2021-05-01
139,neg,쓰러질,4,2021-05-01
140,neg,쓸데없는,4,2021-05-01
141,neg,쓸쓸한,4,2021-05-01
142,neg,아픔,4,2021-05-01
143,neg,아픔을,4,2021-05-01
144,neg,악마,4,2021-05-01
145,neg,안타깝다,4,2021-05-01
146,neg,지나친,4,2021-05-01
147,neg,지옥,4,2021-05-01
148,neg,파울,4,2021-05-01
149,neg,가난한,3,2021-05-01
150,neg,거칠고,3,2021-05-01
151,neg,겁쟁이,3,2021-05-01
152,neg,공포,3,2021-05-01
153,neg,공포증,3,2021-05-01
154,neg,노예,3,2021-05-01
155,neg,더러워진,3,2021-05-01
156,neg,두렵고,3,2021-05-01
157,neg,마이너스,3,2021-05-01
158,neg,미운,3,2021-05-01
159,neg,방해하는,3,2021-05-01
160,neg,배탈,3,2021-05-01
161,neg,불법,3,2021-05-01
162,neg,불안,3,2021-05-01
163,neg,불안하다,3,2021-05-01
164,neg,서운한,3,2021-05-01
165,neg,슬퍼서,3,2021-05-01
166,neg,시든,3,2021-05-01
167,neg,싫을,3,2021-05-01
168,neg,심하다,3,2021-05-01
169,neg,쓸쓸하게,3,2021-05-01
170,neg,앓는,3,2021-05-01
171,neg,욕을,3,2021-05-01
172,neg,이기적인,3,2021-05-01
173,neg,죄,3,2021-05-01
174,neg,죄가,3,2021-05-01
175,neg,중상,3,2021-05-01
176,neg,강탈,2,2021-05-01
177,neg,고통,2,2021-05-01
178,neg,과음,2,2021-05-01
179,neg,나쁠,2,2021-05-01
180,neg,너무하다,2,2021-05-01
181,neg,느끼하다,2,2021-05-01
182,neg,더러움,2,2021-05-01
183,neg,더럽게,2,2021-05-01
184,neg,더럽고,2,2021-05-01
185,neg,독이,2,2021-05-01
186,neg,두려움,2,2021-05-01
187,neg,떡실신,2,2021-05-01
188,neg,망연자실,2,2021-05-01
189,neg,못하겠다고,2,2021-05-01
190,neg,무분별한,2,2021-05-01
191,neg,밉다,2,2021-05-01
192,neg,번거롭게,2,2021-05-01
193,neg,부상,2,2021-05-01
